순번,회사명,공장대표주소,공장대표주소(지번),업종명,전화번호,생산품
11,(사)한국신체장애인복지회봉제사업부,"부산광역시 사상구 사상로 415, 3층(모라동, (주)제이드엠)",부산광역시 사상구 모라동 728-29 (주)제이드엠 3층,남자용 겉옷 제조업 외 12 종,051-363-9392,
12,(사)한국장애인공존협회 정관지점,부산광역시 기장군 정관읍 예림1로 82,부산광역시 기장군 정관읍 예림리 603-0,직물포대 제조업 외 3 종,051-521-8815,
13,(사)한국장애인교통문화협회,"부산광역시 사상구 모라로192번길 9, 802호 (모라동, 모라아파트형공장)",부산광역시 사상구 모라동 75-8번지 모라아파트형공장 802호,표면처리 및 적층 직물 제조업,051-972-0037,
14,(사)한국장애인녹색재단 녹색섬유사업단,"부산광역시 북구 구만덕로60번길 52, 3층(만덕동)",부산광역시 북구 만덕동 447-8 3층,침구 및 관련제품 제조업 외 12 종,051-332-3002,
15,(사)한국장애인녹색재단 녹색섬유사업단,"부산광역시 북구 만덕2로44번길 72, 106동비01호 (만덕동, 대성종합상가)",부산광역시 북구 만덕동 927-1번지 대성종합상가 106동비01호,침구 및 관련제품 제조업 외 12 종,051-332-3002,
16,(사)한국장애인연합회지점 중앙사업본부 피복사업부,부산광역시 사하구 다대로 169 (신평동),부산광역시 사하구 신평동 566-3번지,커튼 및 유사제품 제조업 외 16 종,051-292-4873,
17,(사)한국참여자치장애인총연합회 환경기계사업단,부산광역시 사상구 낙동대로1404번길 80(삼락동),부산광역시 사상구 삼락동 357-30,액체 여과기 제조업 외 1 종,051-303-2980,
18,(사복)영광직업재활원,부산광역시 해운대구 삼어로91번길 11 (반여동),부산광역시 해운대구 반여동 1062-1번지,기타 편조의복 액세서리 제조업,051-523-5421,
19,(유)고려금속,부산광역시 강서구 상덕로49번길 135 (강동동),부산광역시 강서구 강동동 2044-2번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-972-0813,
20,(유)광명금속,부산광역시 강서구 녹산산업중로 354 (송정동),부산광역시 강서구 송정동 1635-11,강주물 주조업,051-972-1300,
21,(유)극동산업기계,부산광역시 사상구 학감대로147번길 54 (학장동),부산광역시 사상구 학장동 262-10번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-325-1161,
22,(유)대동,부산광역시 사하구 다산로 212 (다대동),부산광역시 사하구 다대동 1502-2번지,기타 가정용 전기기기 제조업 외 6 종,051-264-8833,
23,(유)대동잉크,부산광역시 사상구 사상로425번길 70 (모라동),부산광역시 사상구 모라동 714-2,인쇄잉크 및 회화용 물감 제조업,,
24,(유)동양특수목재산업,부산광역시 사하구 장림동 492-8번지 외 1필지,부산광역시 사하구 장림동 492-8번지 외 1필지,"박판, 합판 및 유사 적층판 제조업 외 3 종",051-262-5555,
25,(유)류진글로벌,부산광역시 기장군 장안읍 장안산단4로 78,부산광역시 기장군 장안읍 반룡리 834-0,그 외 기타 전자부품 제조업 외 3 종,051-723-7778,
26,(유)미화프라스틱,부산광역시 기장군 정관면 산단2로 16-6 ((주)미화 플라스틱),부산광역시 기장군 정관면 달산리 1077-1번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-303-0554,
27,(유)비씨코로텍,부산광역시 강서구 낙동남로683번길 15 (녹산동),부산광역시 강서구 녹산동 110번지,선박 구성 부분품 제조업,051-412-8551,
28,(유)신아종합,부산광역시 서구 충무대로241번길 5-16 (남부민동),부산광역시 서구 남부민동 645-3번지,기타 무선 통신장비 제조업 외 1 종,051-241-6151,
29,(유)프라이그파이스트,부산광역시 강서구 녹산산단27로 19 (송정동),부산광역시 강서구 송정동 1480-7번지,"탭, 밸브 및 유사장치 제조업 외 3 종",051-831-6985,
30,(유)피피지코리아,부산광역시 남구 신선로356번길 21 (용당동),부산광역시 남구 용당동 128-7번지,일반용 도료 및 관련제품 제조업,051-620-8221,
31,(재)부산경제진흥원,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",부산광역시 강서구 송정동 1735-1번지,기타 신발 제조업 외 1 종,051-600-1700,
32,(재)부산테크노파크,부산광역시 기장군 일광면 횡계길 7 (해양생물산업육성센터),부산광역시 기장군 일광면 횡계리 27번지,화장품 제조업,051-720-8926,
33,(주) 대성FNT,부산광역시 강서구 식만로 33-34 (죽림동),부산광역시 강서구 죽림동 441-1 번지,기타 직물제품 제조업,,
34,(주) 더헤르첸,"부산광역시 금정구 금사로 75, 지하 1층(금사동)",부산광역시 금정구 금사동 132-7 지하 1층,"근무복, 작업복 및 유사의복 제조업 외 25 종",,
35,(주) 라인자동화,부산광역시 강서구 공항로533번가길 54 (대저2동),부산광역시 강서구 대저2동 4274-1번지,산업용 로봇 제조업,051-316-3707,
36,(주) 생,부산광역시 강서구 녹산산업중로 285 (송정동),부산광역시 강서구 송정동 1605-3번지,액체 여과기 제조업,051-304-3531,
37,(주) 송림드리움,부산광역시 연제구 과정로287번길 52 (연산동) 외 1필지,부산광역시 연제구 연산동 1024-1번지 외 1필지,커튼 및 유사제품 제조업,051-862-8170,
38,(주) 예맥통상,부산광역시 사하구 비봉로 56 (신평동),부산광역시 사하구 신평동 431-2번지,"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-207-9393,
39,(주) 제이케이이엔지,부산광역시 강서구 녹산산단262로50번길 7 (송정동),부산광역시 강서구 송정동 1760-5번지,절삭가공 및 유사처리업 외 6 종,051-831-7186,
40,(주) 천명하이텍,부산광역시 사상구 새벽시장로 124 (감전동) Woon Micron,부산광역시 사상구 감전동 140-2 Woon Micron,주철관 제조업 외 29 종,051-514-3104,
41,(주) 티아,부산광역시 강서구 화전산단5로84번길 22 (화전동),부산광역시 강서구 화전동 582-4번지,유압기기 제조업,051-941-2097,
42,(주) 한솔아이스컴패니,"부산광역시 부산진구 동성로49번길 13, 1층 (전포동)",부산광역시 부산진구 전포동 337-30번지,얼음 제조업,051-907-9235,
43,(주)21씨정공,부산광역시 강서구 공항앞길85번길 100 (대저2동),부산광역시 강서구 대저2동 2441-1,절삭가공 및 유사처리업,051-301-7741,
44,(주)ALF,"부산광역시 사상구 새벽로 37 (학장동, (주)ALF)",부산광역시 사상구 학장동 724-24번지,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종",051-311-4682,
45,(주)ALF,"부산광역시 사상구 새벽로 37(학장동, (주) ALF)",부산광역시 사상구 학장동 724-24 (주) ALF,"산업용 오븐, 노 및 노용 버너 제조업",051-311-4682,
46,(주)BHE,"부산광역시 강서구 미음산단5로41번길 21, 해양융복합동(본관동) 302호 (미음동)",부산광역시 강서구 미음동 1537-1번지 해양융복합동(본관동) 302호,방송장비 제조업 외 2 종,051-941-1504,
47,(주)BM,"부산광역시 영도구 태종로 727, 한국해양대학교 창업보육센터508 (동삼동)",부산광역시 영도구 동삼동 1 번지 한국해양대학교 창업보육센터508,천연수지 및 나무 화학물질 제조업 외 1 종,,
48,(주)DH전장,"부산광역시 금정구 공단동로41번길 10, 보림팩토피아 407호~411호 (금사동)",부산광역시 금정구 금사동 37-10번지 보림팩토피아 407호~411호,전투용 차량 제조업 외 14 종,051-521-1120,
49,(주)HJ중공업,"부산광역시 영도구 태종로 233, 외 2필지 (봉래동5가) (총 3 필지) 외 2필지",부산광역시 영도구 봉래동5가 3번지 (주)한진중공업 외 2필지 외 2필지,강선 건조업 외 7 종,051-410-3114,
50,(주)HN푸드,부산광역시 사하구 하신중앙로27번길 15 (장림동),부산광역시 사하구 장림동 1108-15번지,기타 곡물 가공품 제조업,051-263-7249,
51,(주)IEN한창,부산광역시 강서구 녹산산단261로14번길 14 (송정동),부산광역시 강서구 송정동 1593-3번지,기타 전기 변환장치 제조업 외 3 종,051-831-3470,
52,(주)IEN한창,부산광역시 기장군 장안읍 반룡리 835-1 번지,부산광역시 기장군 장안읍 반룡리 835-1 번지,변압기 제조업 외 1 종,051-831-3470,
53,(주)JH테크,부산광역시 사상구 낙동대로815번길 50-26 (감전동),부산광역시 사상구 감전동 514-3번지,볼트 및 너트류 제조업 외 2 종,051-316-8062,
54,(주)JK알에스티,"부산광역시 강서구 가달2로 24(생곡동, (주)JK알에스티)",부산광역시 강서구 생곡동 1599-8 (주)JK알에스티,배전반 및 전기 자동제어반 제조업 외 9 종,051-832-0533,
55,(주)KD밸브,부산광역시 사하구 다산로175번길 12 (다대동),부산광역시 사하구 다대동 1504-7번지,"탭, 밸브 및 유사장치 제조업",051-261-0856,
56,(주)KD밸브,부산광역시 사하구 다산로106번길 61 (다대동),부산광역시 사하구 다대동 1509-3번지,"탭, 밸브 및 유사장치 제조업",051-261-0856,
57,(주)KEM,부산광역시 강서구 유통단지1로65번길 9 (대저2동),부산광역시 강서구 대저2동 3148-2번지,"전기회로 개폐, 보호장치 제조업 외 1 종",051-322-5151,
58,(주)KJSCO,부산광역시 사하구 장림로 132 (장림동) 외 1필지,부산광역시 사하구 장림동 1110-1번지 외 1필지,절삭가공 및 유사처리업,051-314-7600,
59,(주)KTE,부산광역시 강서구 녹산산업대로 95-12 (송정동),부산광역시 강서구 송정동 1497-1번지,배전반 및 전기 자동제어반 제조업 외 5 종,051-265-0255,
60,(주)KTE,부산광역시 강서구 녹산산단77로22번길 38 (송정동),부산광역시 강서구 송정동 1497-10번지,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 2 종",051-265-0255,
61,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (학장동),부산광역시 사상구 학장동 276-22번지,산업용 가스 제조업,051-316-2301,
62,(주)MS동남산업가스,부산광역시 사상구 가야대로176번길 90 (학장동),부산광역시 사상구 학장동 276-21번지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 1 종,051-312-2825,
63,(주)MS이엔지,부산광역시 사상구 학장로 165 (학장동) 외 3필지,부산광역시 사상구 학장동 264-5 외 3필지,"탭, 밸브 및 유사장치 제조업 외 2 종",051-312-5501,
64,(주)The예주,"부산광역시 북구 구만덕로60번길 50, 1,2층(만덕동)","부산광역시 북구 만덕동 447-8 1,2층",남자용 겉옷 제조업 외 7 종,051-331-9003,
65,(주)Y2산업,부산광역시 사하구 장림로 100 (장림동),부산광역시 사하구 장림동 1144-14번지,기타 가공 공작기계 제조업,051-264-4714,
66,(주)가가대소,"부산광역시 해운대구 우동3로11번길 28, 2층 (우동)",부산광역시 해운대구 우동 267-31번지 2층,과자류 및 코코아 제품 제조업,051-913-6884,
67,(주)가나에스아이피,부산광역시 금정구 금사로 159 (회동동),부산광역시 금정구 회동동 208-45,간판 및 광고물 제조업 외 1 종,051-531-7557,
68,(주)가람디자인,부산광역시 금정구 삼어로 219 (금사동),부산광역시 금정구 금사동 62-8번지,간판 및 광고물 제조업 외 3 종,051-747-9733,
69,(주)가람이앤씨,"부산광역시 기장군 정관읍 용수공단2길 45, B동",부산광역시 기장군 정관읍 용수리 1047-13번지 B동,전동기 및 발전기 제조업 외 3 종,062-974-1305,
70,(주)가스트론,부산광역시 강서구 공항앞길85번길 55 (대저2동),부산광역시 강서구 대저2동 2457-6번지,전기회로 접속장치 제조업,051-973-8518,
71,(주)가야기술,부산광역시 사상구 학장로248번길 67 (학장동),부산광역시 사상구 학장동 212-10번지,금속탱크 및 저장용기 제조업 외 1 종,051-314-6837,
72,(주)가야기술,부산광역시 사상구 새벽시장로 106 (감전동),부산광역시 사상구 감전동 141-1번지,액체 여과기 제조업 외 9 종,051-314-6837,
73,(주)가야특수강,부산광역시 강서구 과학산단로 509 (지사동),부산광역시 강서구 지사동 1173-3번지,"탭, 밸브 및 유사장치 제조업",051-831-9041,
74,(주)가양 사하지점,부산광역시 사하구 다산로 164-1 (다대동),부산광역시 사하구 다대동 1506-13번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,051-752-7830,
75,(주)가온테크,부산광역시 사상구 대동로 206(학장동),부산광역시 사상구 학장동 262-16,유압기기 제조업 외 24 종,051-319-4530,
76,(주)가우리기술,부산광역시 강서구 녹산산단77로22번길 23 (송정동),부산광역시 강서구 송정동 1500-15번지,산업용 로봇 제조업,,
77,(주)가유 부산1공장,부산광역시 강서구 미음산단로 93 (구랑동),부산광역시 강서구 구랑동 1193-4번지,기어 및 동력전달장치 제조업,055-252-1701,
78,(주)가유 부산2공장,부산광역시 강서구 미음국제3로 126 (미음동),부산광역시 강서구 미음동 1643-1,자동차용 신품 동력전달장치 제조업 외 2 종,055-252-1701,
79,(주)가포,"부산광역시 동래구 미남로132번길 104 (온천동, 가포)",부산광역시 동래구 온천동 1442-20번지,간판 및 광고물 제조업 외 13 종,051-505-6191,
80,(주)감성플랜,"부산광역시 해운대구 센텀중앙로 78, 12층 1205 (우동, 센텀그린타워(CENTUM GREEN TOWER))",부산광역시 해운대구 우동 1462번지 센텀그린타워(CENTUM GREEN TOWER) 12층 1205,그 외 기타 달리 분류되지 않은 제품 제조업 외 3 종,051-746-9055,
81,(주)강남,부산광역시 사하구 구평로16번길 71 (구평동) 외 18필지,부산광역시 사하구 구평동 399번지 외 18필지,강선 건조업 외 4 종,051-260-6000,
82,(주)강동미디어,"부산광역시 연제구 거제대로 176, 3층 (거제동, 한신상가)",부산광역시 연제구 거제동 581-3번지 한신상가 3층,비디오 및 기타 영상기기 제조업 외 2 종,051-864-6500,
83,(주)강림씨에스피,부산광역시 강서구 화전산단3로 10 (화전동),부산광역시 강서구 화전동 579-1번지,강관 제조업 외 1 종,051-644-3111,
84,(주)강림정공,"부산광역시 사상구 사상로440번길 28 (모라동, 강림정공)",부산광역시 사상구 모라동 717-5번지,그 외 자동차용 신품 부품 제조업 외 10 종,051-301-0560,
85,(주)강만,부산광역시 강서구 신호산단1로 220-3 (신호동),부산광역시 강서구 신호동  211-1번지,육상 금속 골조 구조재 제조업 외 1 종,051-831-9025,
86,(주)강산지앤지,부산광역시 강서구 대부길 279 (강동동),부산광역시 강서구 강동동 4048-3번지,그 외 기타 분류 안된 섬유제품 제조업,051-313-3397,
87,(주)강원이솔루션,부산광역시 강서구 과학산단로305번길 8(지사동),부산광역시 강서구 지사동 1218-2,그 외 기타 특수목적용 기계 제조업 외 1 종,051-974-5892,
88,(주)강진금속,부산광역시 강서구 미음산단로 426 (미음동),부산광역시 강서구 미음동 1548-7번지,육상 금속 골조 구조재 제조업 외 1 종,,
89,(주)강진금속,"부산광역시 사상구 새벽로 20 (학장동, (주)강진금속)",부산광역시 사상구 학장동 235-4번지,육상 금속 골조 구조재 제조업 외 1 종,051-311-9500,
90,(주)갭스앤디컴퍼니,"부산광역시 해운대구 센텀중앙로 66, 801호 (태아티타워) (우동)",부산광역시 해운대구 우동 1460번지 801호 (태아티타워),경 인쇄업 외 4 종,051-911-9890,
91,(주)거둠,부산광역시 사상구 사상로425번길 17 (모라동),부산광역시 사상구 모라동 725-3번지,주방용 전기기기 제조업,051-305-3555,
92,(주)거림케미칼,부산광역시 부산진구 개금온정로26번길 31 (개금동),부산광역시 부산진구 개금동  295번지,기타 신발 제조업 외 1 종,051-894-8111,
93,(주)거맥에스엔피,부산광역시 사하구 다산로53번길 15 (다대동),부산광역시 사하구 다대동 1515-10번지,그 외 기타 금속가공업 외 1 종,051-264-3315,
94,(주)거보,부산광역시 강서구 녹산산업중로 130 (송정동),부산광역시 강서구 송정동 1500-11,선박 구성 부분품 제조업 외 2 종,051-831-1291,
95,(주)거보녹산지점,부산광역시 강서구 녹산산단165로14번길 11-21 (송정동),부산광역시 강서구 송정동 1529-12번지,선박 구성 부분품 제조업 외 1 종,051-831-1291,
96,(주)거성모방,부산광역시 사하구 신산로 20 (신평동),부산광역시 사하구 신평동 656-1번지,솜 및 실 염색가공업,051-207-6584,
97,(주)거성엔지니어링,부산광역시 기장군 정관면 산단4로 2-1 (엠에스플라텍),부산광역시 기장군 정관면 달산리 871-12 번지,구조용 금속 판제품 및 공작물 제조업,051-516-1882,
98,(주)거연기업,부산광역시 강서구 낙동남로456번길 25-24 (녹산동),부산광역시 강서구 녹산동 736-3번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 4 종,051-973-0409,
99,(주)거웅이엔지,부산광역시 강서구 호계로57번길 26 (봉림동),부산광역시 강서구 봉림동 457번지,"탭, 밸브 및 유사장치 제조업",051-554-3248,
100,(주)거청,"부산광역시 영도구 해양로 125 (청학동, (주)거청) (총 6 필지) 외 5필지",부산광역시 영도구 청학동 1-35번지 외 5필지,선박 구성 부분품 제조업,051-418-7741,
101,(주)건안산업,"부산광역시 북구 낙동대로 1600 (구포동, 건안산업구포공장)",부산광역시 북구 구포제2동 1119-12번지,플라스틱 창호 제조업 외 2 종,051-303-3003,
102,(주)건양아이티티,부산광역시 강서구 미음산단5로60번길 15 (미음동),부산광역시 강서구 미음동 1526번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-660-9192,
103,(주)건영주물,부산광역시 사상구 감전천로 84 (학장동),부산광역시 사상구 학장동 748-9번지,주형 및 금형 제조업,051-315-5567,
104,(주)건영패밀리,부산광역시 강서구 신호산단2로75번길 49 (신호동),부산광역시 강서구 신호동 243-7 번지,그 외 기타 전기장비 제조업 외 4 종,,
105,(주)건우테크,부산광역시 강서구 과학산단1로60번길 30 (지사동) 8동 1층,부산광역시 강서구 지사동 1274-0 8동 1층,전동기 및 발전기 제조업 외 3 종,051-467-0041,
106,(주)건우하드페이싱,"부산광역시 강서구 가리새2로 43, 2동, 혜성정밀 내 (범방동)","부산광역시 강서구 범방동 1918-3번지 2동, 혜성정밀 내",그 외 기타 금속가공업,051-974-0611,
107,(주)건인씨엔알,부산광역시 기장군 정관읍 용수공단1길 38,부산광역시 기장군 정관읍 용수리 1031-1번지,그 외 기타 분류 안된 비금속 광물제품 제조업,,
108,(주)건일,부산광역시 기장군 일광면 화용길 74-13,부산광역시 기장군 일광면 화전리 495-2번지,플라스틱 창호 제조업,051-704-0211,
109,(주)건창축산유통,부산광역시 강서구 상덕로97번길 85 (강동동),부산광역시 강서구 강동동 1973-1번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,051-941-7601,
110,(주)겐츠 베이커리,"부산광역시 남구 용호로159번길 94, B1층 103~107호 (용호동)",부산광역시 남구 용호동 377-3번지 B1층 103~107호,빵류 제조업,,
111,(주)경강,"부산광역시 사상구 감전천로 49 (감전동, (주)경강)",부산광역시 사상구 감전동 507-7번지,그 외 기타 분류 안된 화학제품 제조업 외 2 종,051-322-2703,
112,(주)경기,부산광역시 강서구 녹산산업북로313번길 49 (송정동),부산광역시 강서구 송정동 1619-5번지,운송장비 조립용 플라스틱제품 제조업 외 1 종,051-832-2055,
113,(주)경기색소,부산광역시 사하구 을숙도대로 526 (신평동),부산광역시 사하구 신평동 370-39번지,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",051-291-0265,
114,(주)경남엔지니어링,부산광역시 강서구 미음동 0 번지 I31 4놋트,부산광역시 강서구 미음동 0 번지 I31 4놋트,공기 조화장치 제조업,,
115,(주)경남엔지니어링,부산광역시 강서구 가리새2로13번길 11 (생곡동),부산광역시 강서구 생곡동 1585-4번지,공기 조화장치 제조업 외 1 종,051-941-0001,
116,(주)경동금속,부산광역시 사하구 다산로175번길 13 (다대동),부산광역시 사하구 다대동 1500-11번지,육상 금속 골조 구조재 제조업 외 2 종,051-507-0155,
117,(주)경동금속주방,부산광역시 사상구 학감대로 184-23 (학장동),부산광역시 사상구 학장동 275-10번지,그 외 기타 일반목적용 기계 제조업 외 7 종,051-312-0203,
118,(주)경동금속주방,"부산광역시 사상구 학감대로 184-23(학장동, 경동금속)",부산광역시 사상구 학장동 275-10 경동금속,그 외 기타 일반목적용 기계 제조업 외 11 종,051-312-0203,
119,(주)경동기전,부산광역시 사상구 새벽로63번길 20 (학장동),부산광역시 사상구 학장동 720-5,액체 펌프 제조업,051-326-7598,
120,(주)경동열처리,부산광역시 강서구 녹산산업북로 259 (송정동),부산광역시 강서구 녹산산업북로 259 (송정동),금속 열처리업,051-304-9318,
121,(주)경동유리제경사,"부산광역시 금정구 반송로489번길 36(금사동, 선진제경)",부산광역시 금정구 금사동 76-7 선진제경,디스플레이 장치용 유리 제조업,051-302-8882,
122,(주)경동특수주강,부산광역시 강서구 화전산단5로38번길 20 (화전동),부산광역시 강서구 화전동 596-5번지,강주물 주조업,051-311-1670,
123,(주)경동특수주강,"부산광역시 사상구 학장로95번길 20 (학장동, 경동특수주강)",부산광역시 사상구 학장동 731-6번지,강주물 주조업,051-311-1670,
124,(주)경동특수주강,부산광역시 사상구 학장로95번길 19 (학장동),부산광역시 사상구 학장동 732-3번지,강주물 주조업,051-311-1670,
125,(주)경동특수주강,"부산광역시 사상구 학장로95번길 20(학장동, 경동특수주강)",부산광역시 사상구 학장동 731-6 경동특수주강,강주물 주조업,051-311-1670,
126,(주)경동화학,"부산광역시 사상구 새벽로17번길 11 (학장동, 경동화학)",부산광역시 사상구 학장동 728-2번지,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,051-313-8891,
127,(주)경동화학,부산광역시 강서구 녹산산단262로13번길 19 (송정동),부산광역시 강서구 송정동 1722-6번지,기타 기초 무기 화학물질 제조업,051-313-8891,
128,(주)경맥,부산광역시 사하구 다대로354번길 71 (장림동),부산광역시 사하구 장림동 463-3번지,기타 수산동물 가공 및 저장 처리업,051-292-8234,
129,(주)경민호이스트 녹산지점,부산광역시 강서구 낙동남로549번길 16 (녹산동),부산광역시 강서구 녹산동 1337-3번지,기타 물품 취급장비 제조업 외 1 종,055-343-6715,
130,(주)경방어패럴,부산광역시 사하구 장평로 224 (신평동),부산광역시 사하구 신평동 575번지,셔츠 및 블라우스 제조업 외 6 종,,
131,(주)경부산업,부산광역시 사하구 다산로 195 (다대동),부산광역시 사하구 다대제1동 1504-2번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-263-8186,
132,(주)경부산업,부산광역시 사하구 다산로 195 (다대동),부산광역시 사하구 다대동 1504-13번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-263-8186,
133,(주)경부상사,"부산광역시 강서구 녹산산단382로14번길 55, 신발진흥센터 314호 (재)부산경제진흥원 (송정동, 부산광역시 신발산업진흥센타)",부산광역시 강서구 송정동 1735-1번지 부산광역시 신발산업진흥센타 신발진흥센터 314호 (재)부산경제진흥원,액체 펌프 제조업,051-802-5361,
134,(주)경북전기,부산광역시 사하구 다산로105번길 20 (다대동),부산광역시 사하구 다대동 1513-1번지,변압기 제조업,051-203-4133,
135,(주)경성아이젠,부산광역시 강서구 화전산단2로 77 (화전동),부산광역시 강서구 화전동 583-22번지,절삭가공 및 유사처리업,051-972-3677,
136,(주)경성정기,부산광역시 강서구 녹산산단289로 66 (송정동),부산광역시 강서구 송정동 1603-1번지,전동기 및 발전기 제조업 외 2 종,051-831-1156,
137,(주)경성정기,"부산광역시 강서구 녹산산단261로60번길 33, (송정동,1603-7) (송정동)","부산광역시 강서구 송정동 1603-7번지 (송정동,1603-7)",철도차량 부품 및 관련 장치물 제조업,051-831-1156,
138,(주)경성테크놀러지,"부산광역시 해운대구 센텀중앙로 66, 9층 901~904호(우동, 센텀 T 타워) 9층 901~904호",부산광역시 해운대구 우동 1460 센텀 T 타워 9층 901~904호  9층 901~904호,기타 무선 통신장비 제조업 외 1 종,051-783-3731,
139,(주)경성피엘에스,부산광역시 강서구 미음산단로92번길 12(구랑동),부산광역시 강서구 구랑동 1194-2,산업용 난방보일러 및 방열기 제조업,051-974-1101,
140,(주)경양엔지니어링,부산광역시 남구 신선로 217-10 (감만동),부산광역시 남구 감만동 239-21번지,액체 펌프 제조업 외 1 종,051-418-6628,
141,(주)경원,"부산광역시 사상구 사상로393번길 74 (덕포동, (주)경원)",부산광역시 사상구 덕포동 267-8번지,수동식 식품 가공기기 및 금속 주방용기 제조업 외 1 종,051-302-1777,
142,(주)경원R&D,부산광역시 사상구 낙동대로1292번길 9 (삼락동),부산광역시 사상구 삼락동 400-7,그 외 자동차용 신품 부품 제조업 외 28 종,051-303-4211,
143,(주)경원화학,부산광역시 사하구 다산로225번길 15 (장림동),부산광역시 사하구 장림동 1087-14번지,도금업,051-262-8264,
144,(주)경원화학,부산광역시 사하구 다산로175번길 20 (다대동),부산광역시 사하구 다대동 1504-8번지,기타 가정용 전기기기 제조업 외 1 종,051-262-8264,
145,(주)경원화학 녹산지점 ,부산광역시 강서구 녹산산업중로 232 (송정동),부산광역시 강서구 송정동 1567-4번지,도금업,051-262-8264,
146,(주)경원화학 장림지점,부산광역시 사하구 다산로225번길 35 (장림동),부산광역시 사하구 장림제1동 1087-6번지,도금업,051-262-8264,
147,(주)경인,부산광역시 영도구 해양로 24-11 (청학동),부산광역시 영도구 청학동 322-12번지,선박 구성 부분품 제조업,051-418-5642,
148,(주)경일금속,부산광역시 강서구 녹산산단261로31번길 9 (송정동),부산광역시 강서구 송정동 1571-4번지,도금업,051-831-1667,
149,(주)경일금속 2공장,부산광역시 강서구 녹산산단261로31번길 8 (송정동),부산광역시 강서구 송정동 1569-14번지,도금업,051-831-1667,
150,(주)경전산업,부산광역시 서구 보수대로184번길 32 (동대신동2가),부산광역시 서구 동대신동2가 130번지,전구 및 램프 제조업,051-242-2009,
151,(주)경진스크류,부산광역시 영도구 대평로34번길 9-15 (대평동2가),부산광역시 영도구 대평동2가 192번지,선박 구성 부분품 제조업,051-416-3082,
152,(주)경진하네스산업,부산광역시 사하구 장평로41번길 36 (장림동),부산광역시 사하구 장림동 538-11번지,자동차용 신품 전기장치 제조업 외 1 종,051-264-1184,
153,(주)경창엔지니어링,부산광역시 사상구 사상로477번길 56 (모라동),부산광역시 사상구 모라동 659-5번지,"산업용 오븐, 노 및 노용 버너 제조업 외 7 종",051-304-5751,
