순번,회사명,대표자명,공장대표주소,전화번호,생산품,기준일자,업종명
28,농업회사법인 프롬썬 주식회사,박시영,경상북도 예천군 보문면 승본리 584번지,054-853-9997,고춧가루,2021-10-15,
29,다인산업,이일준,경상북도 예천군 보문면 미호길 91 (다인산업) (총 2 필지) 외 1필지,054-652-3725,유인추,2021-10-15,
30,다인산업,이일준,경상북도 예천군 보문면 승본리 609번지,054-652-3725,"유인추, 유인줄, E클립",2021-10-15,
31,대신종합농기계,"남미정, 이학남","경상북도 예천군 보문면 산단길 14-5, 나동",054-652-3909,"땅속작물수확기, 제초기, 농용 하우스 밴딩 성형기",2021-10-15,
32,대창제재소,김팔봉,경상북도 예천군 예천읍 무리실길 13,054-654-3506,건축각재,2021-10-15,
33,도원,허성훈,경상북도 예천군 보문면 산단길 26,054-655-0051,"골판지, 종이",2021-10-15,
34,동광기업사,윤형갑,경상북도 예천군 예천읍 경서로 2452,054-654-3377,"정미,정맥,압맥",2021-10-15,
35,명성하이테크(주),최명흥,경상북도 예천군 예천읍 봉덕로 12 역전떡집 2층,070-7533-1459,무선전자제어장비,2021-10-15,
36,미래영농조합,안준모,경상북도 예천군 지보면 소화2길 102,054-653-5527,고추 가루,2021-10-15,
37,산학정미소,권영학,경상북도 예천군 지보면 마전2길 39-12,054-652-5027,쌀,2021-10-15,
38,서민프레시 농업회사법인 주식회사,김유진,경상북도 예천군 호명면 피실길 30 (호명면),054-653-7668,부각,2021-10-15,
39,선한식품,김태희,경상북도 예천군 은풍면 은풍로 291-6,054-652-7337,"사과즙, 조청",2021-10-15,
40,성빈주식회사,최병인,경상북도 예천군 보문면 산단길 14-12 (주)성지산업 나동,,KF 94 마스크,2021-10-15,
41,세종농산 영농조합법인,석준식,경상북도 예천군 용궁면 용궁로 236 (서종농산),054-653-9908,유기질비료,2021-10-15,
42,소백산용두황태농업회사법인,최인수,경상북도 예천군 효자면 도효자로 2090 외 1필지,054-556-5900,"황태채,황태포",2021-10-15,
43,승진상사,박승진,경상북도 예천군 예천읍 상동길 40,054-654-2004,상향식분무대차,2021-10-15,
44,승진프로슈머,박기민,경상북도 예천군 예천읍 경서로 2371-2,,"동력분무기, 스피드스프레이어",2021-10-15,
45,시골이야기푸드,이재준,경상북도 예천군 은풍면 은풍로 381,054-655-2862,과채주스,2021-10-15,
46,신광정보통신,우광호,경상북도 예천군 예천읍 양궁로 9 (만도카센터),054-652-8806,"영상감지장치, CCTV카메라 등",2021-10-15,
47,신명양곡,함영석,경상북도 예천군 용궁면 용궁로 85 외 3필지,054-653-6025,"도정, 곡물생산",2021-10-15,
48,씨에이치모티브,이현수,경상북도 예천군 보문면 승본리 588번지,053-384-9828,농기계제작부품 등,2021-10-15,
49,영광산업,이명화,경상북도 예천군 호명면 양궁로 657 (총 5 필지) 외 4필지,054-655-8128,소금,2021-10-15,
50,영남산업,김은주,경상북도 예천군 용궁면 월오리 484-5번지,054-653-8971,건축석재,2021-10-15,
51,예천군농협쌀조합공동사업법인,윤여호,경상북도 예천군 개포면 예지로 1216 외 5필지,054-655-9199,"현미,백미",2021-10-15,
52,예천군양잠농업협동조합,임석종,경상북도 예천군 호명면 하간산길 11-28,054-654-2802,"누에가루, 뽕잎차, 농산물 가공품",2021-10-15,
53,예천연탄,양경옥,경상북도 예천군 예천읍 경서로 2401 (예천연탄),054-654-3391,무연탄,2021-10-15,
54,예천탁주합동양조장,윤찬식,경상북도 예천군 예천읍 효자로 180-1,054-654-2781,탁주,2021-10-15,
55,용궁두부공장,박성훈,경상북도 예천군 용궁면 용궁로 127-8,054-653-6248,두부,2021-10-15,
56,용궁합동양조장,권순만,경상북도 예천군 용궁면 용궁로 139 (용궁양조장),054-653-6037,탁주,2021-10-15,
57,우리산업(주),배준현,경상북도 예천군 보문면 산단길 14-18,054-631-8101,조경시설물,2021-10-15,
58,우성산업개발(주),조관섭,경상북도 예천군 감천면 충효로 934 (㈜우성아스콘) (총 6 필지) 외 5필지,054-654-8372,아스콘 및 재생아스콘,2021-10-15,
59,우일음료(주),강평모,경상북도 예천군 예천읍 농공단지길 9 (우일음료㈜) (총 6 필지) 외 5필지,054-654-0882,"아침햇쌀,녹차,매실",2021-10-15,
60,우창석재,한명환,경상북도 예천군 감천면 충효로 1823,054-652-8739,건축석재,2021-10-15,
61,우창정미소,권우창,경상북도 예천군 지보면 마전2길 39-22 외 2필지,054-655-5325,쌀,2021-10-15,
62,월드산업(주),이호경,경상북도 예천군 호명면 양궁로 717 외 2필지,054-652-3011,레미콘,2021-10-15,
63,제일기공,구정국,경상북도 예천군 보문면 승본리 586번지,,스테인레스관,2021-10-15,
64,주식회사 영도정보통신,구수남,경상북도 예천군 예천읍 효자로 5-1,054-655-0211,방범용 CCTV IP카메라,2021-10-15,
65,주식회사 호범테크,권혁서,경상북도 예천군 예천읍 충효로 390-1,054-654-9498,전기전자제어장치,2021-10-15,
66,주식회사 휴먼아이씨티,이미숙,경상북도 예천군 산단길 64 (보문면),054-652-9952,LED조명기구,2021-10-15,
67,지보농협참기름공장,정순,경상북도 예천군 지보면 지보로 168-14,054-653-3105,참기름,2021-10-15,
68,지오페이퍼,설민우,경상북도 예천군 개포면 경서로 1398-16,054-652-2250,위생용 화장지,2021-10-15,
69,튤립인터내셔널(주),정영호,경상북도 예천군 보문면 산단길 13-3 외 2필지,054-654-2688,"알로에, 코코넛, 과즙, 에너지 음료 등",2021-10-15,
70,풍성산업사,백승목,경상북도 예천군 보문면 보문로 222 (풍성산업),054-654-1235,나무젓가락,2021-10-15,
71,풍양블럭공장,유홍행,경상북도 예천군 풍양면 삼강로 385,054-653-7568,"블럭,벽돌",2021-10-15,
72,풍양정미소,김정녀,경상북도 예천군 풍양면 삼강로 521 외 1필지,,백미,2021-10-15,
73,풍양한우영농조합법인,김만준,경상북도 예천군 풍양면 풍지로 278-18,054-653-4320,질소비료,2021-10-15,
74,학산제지,현성근,경상북도 예천군 보문면 미호길 41,054-654-6450,위생용 화장지,2021-10-15,
75,한국이티에스(주),윤일진,경상북도 예천군 보문면 산단길 14-11,031-478-3427,"수질측정계측기기(TOC,TN,TP)",2021-10-15,
76,한국종합식품(주),이상업,경상북도 예천군 예천읍 농공단지길 20 (한국종합식품㈜),054-653-3355,"김치, 양념",2021-10-15,
77,해트리푸드,윤숙자,경상북도 예천군 보문면 산단길 42,054-653-9552,"단무지, 쌈무",2021-10-15,
78,황금퇴비,권영완,경상북도 예천군 풍양면 풍지로 70-20,,퇴비,2021-10-15,
79,휴먼이엔씨(주),김동수,경상북도 예천군 보문면 승본리 583번지,02-561-6077,"난간, 스틸브라켓, 강재",2021-10-15,
