회사명,단지명,대표자명,보유구분,공장대표주소,공장크기,전화번호,팩스번호,사업자등록번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,용지면적,제조시설면적,부대시설면적,남종업원,여종업원,(외남)종업원,(외여)종업원,업종명,용도지역,지목,공장상태,기준일자,생산품
(주)대금산업안전,울진죽변해양바이오농공단지,오미나,자가,경상북도 울진군 죽변면 매정1길 87,소기업,,,5318700451,2018-02-12,,2018-03-05,2019-03-18,1788.9,259,0,2,1,,,구조용 금속 판제품 및 공작물 제조업 외 8 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
(주)동경자동차종합정비,,황성기,임대,경상북도 울진군 평해읍 동해대로 723 (㈜동경종합정비),소기업,054-787-8221,054-787-8226,5078120388,1997-06-20,1997-06-20,1997-06-26,1997-06-26,6065,1250.88,589.5,17,1,0,0,건설 및 채광용 기계장비 제조업,관리지역,잡종지,완료신고,2021-09-30,
(주)동진산업,울진농공단지,심미애,자가,경상북도 울진군 울진읍 울진북로 745-62,소기업,054-782-5055,,5078113591,2015-03-06,,2015-11-18,2016-03-25,6127.7,639.12,632.8,8,2,,,레미콘 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)디에스엔진,,공명식,임대,경상북도 울진군 북면 고목2길 6 (첨단기공㈜),소기업,054-781-5454,,5078107181,2014-05-30,2014-05-30,2014-07-03,2017-09-14,146,120,26,4,1,,,육상 금속 골조 구조재 제조업 외 3 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)레드,울진평해농공단지,윤명희,자가,"경상북도 울진군 평해읍 평오곡길 51-31, 평해농공단지",소기업,054-788-3000,,5078113683,,,2015-08-07,2017-10-24,1650,250,198,2,,,,전구 및 램프 제조업 외 6 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)명성레미콘,,임수대,자가,경상북도 울진군 후포면 쇠골1길 57 (명성레미콘),소기업,054-787-6114,054-787-4182,5078105150,2014-12-29,,1991-09-30,2011-04-11,6506,95,5468.5,27,3,0,0,레미콘 제조업 외 1 종,관리지역,잡종지,등록변경,2021-09-30,
(주)미식수산,,김상철,자가,"경상북도 울진군 후포면 반소골길 43, 256-2번지",소기업,054-787-4050,,5078109044,1990-11-13,1990-11-13,1995-06-26,2009-08-21,2629.76,945,156.24,5,30,0,0,수산동물 냉동품 제조업,관리지역,공장용지,등록변경,2021-09-30,
(주)블루웨이,울진평해농공단지,서계숙,자가,"경상북도 울진군 평해읍 평오곡길 51-23, 평해농공단지",소기업,054-788-3627,,4578800029,1994-12-23,1994-12-23,2016-03-23,2018-12-14,1653.5,431.28,84,5,2,,,방송장비 제조업 외 7 종,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
(주)삼민중공업,,곽도연,임대,경상북도 울진군 후포면 울진대게로 116,소기업,054-256-6047,054-242-2399,8218601166,2016-03-23,,2021-08-10,2021-08-10,2893,469.5,108,6,1,,,강선 건조업 외 4 종,도시지역/공업지역/준공업지역/보존지구,잡종지,신규등록,2021-09-30,
(주)성도랜드,울진평해농공단지,최해주,자가,경상북도 울진군 평해읍 평해리 1462-2번지,중기업,,,2158605692,,,2017-04-18,2017-05-29,3328.8,1147.21,415.54,6,7,,,농업 및 임업용 기계 제조업 외 3 종,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
(주)성진텍,,박성준,임대,경상북도 울진군 북면 마분길 66-6 (총 2 필지) 외 1필지,소기업,054-783-8005,,5078109118,2014-09-18,,2010-04-15,2010-04-15,526,147.42,49.41,2,0,0,0,그 외 기타 일반목적용 기계 제조업 외 1 종,도시지역/공업지역/일반공업지역,대,신규등록,2021-09-30,
(주)시내앤들,,전보술,임대,경상북도 울진군 죽변면 죽변중앙로 135-4,소기업,02-448-0023,02-448-5150,2208630271,,,2012-06-26,2013-08-23,50,20,0,9,1,,,어망 및 기타 끈 가공품 제조업 외 3 종,관리지역/계획관리지역,대,등록변경,2021-09-30,
(주)아리바이오,,정재준,임대,경상북도 울진군 죽변면 해양과학길 22 (경북해양바이오산업연구원),소기업,054-781-0020,054-781-0022,5078504504,,,2014-05-09,2019-09-18,309.96,309.96,0,6,3,,,기타 비알코올 음료 제조업,도시지역/녹지지역/자연녹지지역,대,등록변경,2021-09-30,
(주)아영레미콘,,주시홍,자가,경상북도 울진군 울진읍 울진북로 655-14 (㈜아영레미콘),소기업,054-783-1801,,5078106561,,,1994-09-13,2019-11-22,9869,110.4,1638.48,12,2,0,0,레미콘 제조업 외 1 종,도시지역/공업지역/일반공업지역,잡종지,등록변경,2021-09-30,
(주)에스앤엘테크,울진평해농공단지,신동준,자가,경상북도 울진군 평해읍 평오곡길 51-150,소기업,,,7968701421,1991-12-23,,2016-11-28,2020-02-11,4900.3,923.65,1079.65,3,1,,,폴리스티렌 발포 성형제품 제조업 외 1 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)우송목재,울진농공단지,장동천,임대,"경상북도 울진군 울진읍 울진북로 745-54, 울진농공단지",소기업,054-783-8789,054-782-8789,7898100460,2016-05-18,,2017-02-10,2019-10-07,8173,1320,476,7,1,5,,일반 제재업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)우주종합상사,,지태윤,임대,경상북도 울진군 후포면 상밤터1길 37,소기업,054-781-8933,,5078112442,2016-07-19,,2015-03-25,2015-03-25,40,39.9,0,4,1,,,방송장비 제조업 외 1 종,도시지역/주거지역/제1종일반주거지역,대,신규등록,2021-09-30,
(주)울진로하스코리아,,"이효복, 정병주",임대,경상북도 울진군 기성면 구산봉산로 438 ((주)울진로하스코리아) (총 2 필지) 외 1필지,소기업,054-781-0548,,5078108934,,,2009-11-19,2014-04-01,2290,494.55,0,8,10,0,0,김치류 제조업 외 1 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
(주)유리안,,이인옥,임대,"경상북도 울진군 죽변면 해양과학길 22, 경북해양바이오산업연구원 인큐베이트공장 202호 (경북해양바이오산업연구원)",소기업,,,5148191727,2009-07-08,2009-07-08,2018-05-01,2018-05-01,149,88.56,60.44,2,1,,,커피 가공업,도시지역/녹지지역/자연녹지지역,대,신규등록,2021-09-30,
(주)정원,울진농공단지,홍성광,임대,경상북도 울진군 울진읍 울진북로 745-47 ((주)현대목재),소기업,054-783-6079,,5078504144,,,2009-08-31,2009-11-11,250,180,0,2,0,0,0,표면 가공 목재 및 특정 목적용 제재목 제조업,관리지역,공장용지,등록변경,2021-09-30,
(주)제닉인프라,,박정미,임대,경상북도 울진군 울진읍 현내항길 96,소기업,054-782-3960,,1278609047,2009-07-06,2009-07-06,2015-05-26,2015-11-23,79,60,19,3,3,,,방송장비 제조업 외 1 종,도시지역/녹지지역/자연녹지지역,대,등록변경,2021-09-30,
(주)죽변용역,울진농공단지,김협준,임대,경상북도 울진군 울진읍 울진북로 745-74,소기업,054-782-8284,054-783-7257,5078108875,,,2014-12-29,2014-12-29,0,33,0,4,,,,방송장비 제조업 외 2 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
(주)진바이오,,박진학,임대,경상북도 울진군 죽변면 해양과학길 22 (경북해양바이오산업연구원),소기업,054-781-1588,,5078108424,2014-12-09,2014-12-09,2008-11-19,2008-11-19,33784,134,0,3,0,0,0,화장품 제조업,도시지역/녹지지역/자연녹지지역,대,신규등록,2021-09-30,
(주)진성콘크리트,,이동현,자가,"경상북도 울진군 기성면 기성로 990, 552-1,552-2,553,554,555-1 555-2,559,560-1,560-2 563",소기업,054-788-0021,,5078110615,,,2002-10-15,2011-10-25,11463,966,303,14,3,0,0,레미콘 제조업 외 1 종,관리지역,전,등록변경,2021-09-30,
(주)창성,,이태관,자가,경상북도 울진군 기성면 기성로 860 (창성아스콘) (총 5 필지),소기업,054-788-1301,054-734-1956,5078104049,1997-05-31,1997-05-31,2003-03-15,2021-05-21,10588,381.71,39,3,0,0,0,아스팔트 콘크리트 및 혼합제품 제조업,관리지역,공장용지,등록변경,2021-09-30,
(주)컴텍글로벌,,장유덕,임대,경상북도 울진군 북면 장터길 94,소기업,054-781-6622,,5078107105,,,2008-08-28,2009-01-21,331,45.09,9.06,2,1,0,0,그 외 기타 일반목적용 기계 제조업 외 1 종,도시지역/주거지역/제1종일반주거지역,대,등록변경,2021-09-30,
(주)크린산업개발,울진평해농공단지,권우희,자가,경상북도 울진군 평해읍 평오곡길 51-118,소기업,053-783-1436,053-783-1437,5968500944,,,2018-09-03,2018-09-03,4983.6,2165,241.1,5,2,,,강관 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
(주)태경산업,울진농공단지,황두환,자가,경상북도 울진군 울진읍 울진북로 745-80,소기업,054-781-2227,054-781-4321,5078113422,2018-08-09,,2015-02-17,2021-04-16,11821.7,549.15,551.34,7,0,,,레미콘 제조업,관리지역/관리지역기타,공장용지,등록변경,2021-09-30,
(주)태성레미콘,울진농공단지,윤태균,자가,경상북도 울진군 울진읍 울진북로 745-88,소기업,054-781-2300,,5078107084,2014-10-22,,2006-12-27,2012-08-24,5830,293.03,272.6,7,2,0,0,레미콘 제조업 외 1 종,관리지역/관리지역기타/개발진흥지구,공장용지,등록변경,2021-09-30,
(주)태성산업,울진농공단지,윤태균,자가,경상북도 울진군 울진읍 울진북로 745-88,소기업,054-781-2300,,5078107099,2006-01-19,2006-01-19,2007-02-14,2014-10-13,11966.4,661.29,553.87,7,2,0,0,비금속광물 분쇄물 생산업,관리지역/관리지역기타/개발진흥지구,공장용지,등록변경,2021-09-30,
(주)평해레미콘,,양병일,자가,경상북도 울진군 평해읍 평오곡길 31-30 외 3필지,소기업,054-787-1700,054-788-1702,2318600501,2006-01-26,,2018-07-27,2019-03-19,8798.9,520.31,730.65,8,2,,,레미콘 제조업,도시지역/공업지역/준공업지역,답,등록변경,2021-09-30,
(주)하람씨푸드,,이옥정,임대,경상북도 울진군 후포면 중밤터2길 17,소기업,,054-788-1070,4448600903,2018-07-20,,2017-12-19,2017-12-19,2050,397.35,250.81,3,5,1,,기타 수산동물 가공 및 저장 처리업,도시지역/녹지지역/자연녹지지역,공장용지,신규등록,2021-09-30,
(주)혜인자원,,오기섭,자가,"경상북도 울진군 후포면 금음리 573-1번지 574-2,581-3,581-4,580-3,573, 575,574,574-1,580,580-1,581-1, -2동",소기업,054-788-6051,,5078107158,,,2007-08-03,2017-12-18,23008,2926.37,4359.28,3,1,0,0,비금속광물 분쇄물 생산업,관리지역/관리지역기타,전,등록변경,2021-09-30,
B.K Trading Company,,이호엽,임대,경상북도 울진군 죽변면 울진북로 1546 (부광테크),소기업,054-782-2263,,5020277106,2006-09-20,,2008-07-23,2008-07-23,992,34.38,60.85,1,3,0,0,배전반 및 전기 자동제어반 제조업,관리지역/관리지역기타,대,신규등록,2021-09-30,
CNC프로텍,,전정희,임대,경상북도 울진군 북면 고목2길 6 (첨단기공㈜),소기업,054-782-3128,054-782-3129,5070352164,,,2010-02-09,2012-01-31,217.2,217.2,0,3,1,0,0,육상 금속 골조 구조재 제조업 외 6 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
K&C종합상사,,김규호,자가,경상북도 울진군 북면 고목1길 29-35,소기업,054-782-0943,054-781-0943,5070394922,,,2019-09-17,2019-09-17,598,72,0,,,,,볼트 및 너트류 제조업 외 2 종,관리지역/계획관리지역,답,신규등록,2021-09-30,
경북철공소,,윤수억,임대,경상북도 울진군 후포면 후포로 194,소기업,054-787-1641,,5070231629,,,1998-01-01,1998-01-01,245,245,0,2,0,0,0,기타 선박 건조업,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
군자모라돈(주),울진죽변해양바이오농공단지,김상현,자가,경상북도 울진군 죽변면 후정리 1254-7번지,소기업,031-996-6690,031-988-5223,5338500832,1965-04-01,1965-04-01,2018-07-24,2018-07-31,3533.3,330,106,2,1,3,,구조용 금속 판제품 및 공작물 제조업 외 3 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
금강전력,,권순영,임대,경상북도 울진군 울진읍 울진중앙로 41-14,소기업,054-781-3923,054-781-3924,5070385724,2017-11-20,,2013-06-03,2013-06-03,86.64,74.14,12.5,5,,,,일반용 전기 조명장치 제조업,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
나노테크,,박덕형,임대,경상북도 울진군 북면 주인1길 43 (길림건설㈜),소기업,054-783-8707,,5070351224,,,2010-10-11,2010-10-11,99,27,0,1,0,0,0,기어 및 동력전달장치 제조업,관리지역/관리지역기타,대,신규등록,2021-09-30,
나진콘크리트산업,울진농공단지,임문수,자가,경상북도 울진군 울진읍 울진북로 745-46 (나진콘크리트산업),소기업,054-783-9941,,5070233345,,,2000-07-27,2000-07-27,8501.2,253.97,393.56,3,0,0,0,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",관리지역/관리지역기타,공장용지,신규등록,2021-09-30,
나진콘크리트산업,울진농공단지,임문수,자가,경상북도 울진군 울진읍 울진북로 745-72 (신한벽돌),소기업,054-783-9941,,5070233345,2000-05-04,2000-05-04,1997-11-28,2008-05-22,4532.5,365.99,93.63,2,0,0,0,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종",관리지역,공장용지,등록변경,2021-09-30,
농업회사법인 주식회사 울진술도가,,홍시표,자가,경상북도 울진군 근남면 노음2길 4,소기업,,,3238600834,1997-06-20,1997-06-20,1979-12-28,2020-02-11,221,128.05,21.6,4,1,,,탁주 및 약주 제조업,도시지역/상업지역/일반상업지역,잡종지,등록변경,2021-09-30,
농업회사법인 한국농산합자회사,울진평해농공단지,조명희,자가,경상북도 울진군 평해읍 평오곡길 51-173,소기업,054-859-6519,054-859-6519,5088136656,,,2019-09-20,2019-09-20,3328.7,372.79,384.43,5,5,,,아이스크림 및 기타 식용빙과류 제조업 외 2 종,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
농업회사법인(주)청담정바이오,울진평해농공단지,윤혜진,자가,경상북도 울진군 평해읍 평오곡길 51-101,소기업,054-789-0654,,5188801041,2016-03-08,,2021-04-20,2021-04-20,1653,333.54,163.5,,2,,,기타 곡물 가공품 제조업 외 1 종,도시지역/공업지역/일반공업지역/지구단위계획구역,공장용지,완료신고,2021-09-30,
다약정,,배재영,자가,경상북도 울진군 울진읍 호월4길 106-4,소기업,054-783-8260,,5070458262,2020-04-23,,2016-01-13,2016-01-13,853,129.76,56,,1,0,,건강기능식품 제조업 외 1 종,농림지역/농업진흥지역/농업진흥구역,공장용지,완료신고,2021-09-30,
대동제재소,,손상현,자가,경상북도 울진군 평해읍 월송5길 1 (대동제재소),소기업,054-787-5135,,5070462505,2014-09-19,,1975-05-01,2011-01-05,304.22,202.4,0,1,0,0,0,일반 제재업,도시지역/주거지역/제1종일반주거지역,대,등록변경,2021-09-30,
대산NHE,울진죽변해양바이오농공단지,윤명희,자가,경상북도 울진군 죽변면 매정1길 91,소기업,054-788-3000,054-788-5321,5070386306,2010-03-04,2010-03-04,2020-01-20,2021-07-20,1817.1,327.24,355.94,8,5,,,그 외 기타 특수목적용 기계 제조업 외 2 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
대성산업.데코용역,,황금식,임대,경상북도 울진군 죽변면 죽변2길 174 (대성광고),소기업,054-783-5772,054-782-5922,5070235644,,,2009-08-25,2010-02-22,132,79.86,19.5,2,0,0,0,간판 및 광고물 제조업,도시지역/주거지역/제1종일반주거지역,대,등록변경,2021-09-30,
대신하이텍,,이상원,자가,경상북도 울진군 북면 덕구온천로 298-3 (대신하이텍) 외 1필지,소기업,054-781-8585,,5070247117,2018-11-19,2021-05-24,2010-05-28,2015-03-23,675,148,35,1,2,0,0,기타 직물제품 제조업 외 13 종,관리지역/계획관리지역,대,등록변경,2021-09-30,
대양산업,울진농공단지,"조옥화,장광병",자가,경상북도 울진군 울진읍 울진북로 745-34 (경북상사) (총 2 필지) 외 1필지,소기업,054-783-0012,,5070692852,,,2008-07-28,2020-02-17,5416.3,530.5,997.31,5,6,1,1,어망 및 기타 끈 가공품 제조업 외 1 종,관리지역,공장용지,등록변경,2021-09-30,
대영산업,울진농공단지,박용동 외 1명,자가,경상북도 울진군 울진읍 울진북로 745-37 (명지석재),소기업,054-781-7587,054-781-5587,5070380409,,,2010-02-03,2010-02-03,8632.3,1638.72,1055.4,4,3,0,0,폴리스티렌 발포 성형제품 제조업 외 1 종,관리지역/관리지역기타,공장용지,완료신고,2021-09-30,
대정수산(주),,최승걸,자가,경상북도 울진군 평해읍 울진대게로 645 (대정수산) 외 2필지,소기업,054-787-0884,054-787-0886,5078103905,2007-11-28,,2000-01-31,2020-11-26,1317,331.84,262.15,4,11,0,0,"수산동물 훈제, 조리 및 유사 조제식품 제조업",관리지역,공장용지,등록변경,2021-09-30,
대정수산(주),,최승걸,자가,경상북도 울진군 평해읍 울진대게로 641,소기업,054-787-0884,054-787-0886,5078103905,2009-12-30,2009-12-30,2019-12-13,2019-12-13,1102,126.23,321.46,2,4,1,,"수산동물 훈제, 조리 및 유사 조제식품 제조업",관리지역/계획관리지역,잡종지,신규등록,2021-09-30,
대후기업(주),,이재훈,자가,경상북도 울진군 후포면 동해대로 318 (대후기업㈜),중기업,054-787-1661,054-787-2662,5078102380,1999-06-11,,1981-08-12,2020-09-28,6856,2210.16,1186.9,16,43,0,0,수산동물 냉동품 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
덕운수산(주),,김종태,자가,경상북도 울진군 평해읍 박실길 37 (덕운수산),소기업,054-787-0655,,5078109442,,,1997-03-22,2012-04-10,1309.88,470,228.72,4,1,0,0,수산동물 냉동품 제조업 외 1 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
덕운수산(주),,김종태,자가,경상북도 울진군 평해읍 거일리 104 번지 외 1필지 외 3필지,중기업,054-787-0655,054-787-0656,5078109442,1994-05-23,,2012-07-10,2015-06-11,2781,1419.37,521.09,,50,,,수산동물 냉동품 제조업 외 2 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
돌나라한농주식회사,울진농공단지,박경훈,임대,경상북도 울진군 울진읍 울진북로 745-68,소기업,054-781-6711,054-781-6715,8508701161,1995-11-02,1995-11-02,2019-05-20,2019-05-20,10215.5,697,1696.61,20,3,,,"도금, 착색 및 기타 표면처리강재 제조업",관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
동광복층유리,,이진연,자가,경상북도 울진군 울진읍 대나리항길 38 (동광복층유리),소기업,054-783-3883,,5070173544,2011-08-05,,2006-11-08,2006-11-08,1159,195,0,3,0,0,0,안전유리 제조업 외 1 종,도시지역/녹지지역/자연녹지지역,잡종지,신규등록,2021-09-30,
동명씨푸드(주),,이정민,자가,경상북도 울진군 후포면 못골길 17-15 (후포면),소기업,054-787-0044,,4288700010,2019-05-07,,1993-06-19,2021-02-26,7578,1429.2,623.8,5,0,0,0,수산동물 냉동품 제조업,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
동성건설기계,,박복덕,자가,경상북도 울진군 평해읍 학곡리 457-1번지 외 2필지,소기업,054-787-0628,,5070265231,,,2003-03-19,2009-05-11,1591,312.77,51.38,4,0,0,0,건설 및 채광용 기계장비 제조업,관리지역,공장용지,등록변경,2021-09-30,
동해공업사,울진평해농공단지,이강군,자가,"경상북도 울진군 평해읍 평오곡길 51-51, 평해농공단지 외 2필지",소기업,,054-788-2020,5760300814,,,2018-11-29,2018-11-29,2100,495.85,208.84,4,5,,,어망 및 기타 끈 가공품 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
동해하이텍,,강태이,임대,경상북도 울진군 죽변면 죽변항길 115-9,소기업,,,5811900739,2002-08-08,2002-08-08,2018-07-04,2018-07-04,228,50,0,1,,,,컨베이어장치 제조업 외 12 종,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
동현엔지니어링,울진평해농공단지,김성길,자가,경상북도 울진군 평해읍 평오곡길 51-122,소기업,,,5131454009,2017-06-26,,2017-12-19,2017-12-19,3046.4,1459.32,150.06,4,,,,주형 및 금형 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
두원기계상사,,손성익,자가,경상북도 울진군 죽변면 죽변중앙로 202-3,소기업,054-782-8758,054-783-8758,5070661271,,,1997-01-08,1997-01-08,1205,464.58,250.45,1,0,0,0,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역,공장용지,신규등록,2021-09-30,
디에이치테크,울진평해농공단지,유정희,임대,"경상북도 울진군 평해읍 평오곡길 51-119, 평해농공단지",소기업,,,2704500070,2017-11-20,,2016-01-15,2016-03-09,0,321.3,0,2,2,,,배전반 및 전기 자동제어반 제조업 외 9 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
디유푸드(주),울진평해농공단지,김준모,임대,경상북도 울진군 평해읍 평오곡길 51-172,소기업,054-788-1422,054-788-1431,7258700323,1995-10-21,1995-10-21,2017-06-09,2018-10-11,14113.6,3431.83,1861.77,13,18,,,기타 곡물 가공품 제조업 외 1 종,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
마하엔지니어링,,이창업,임대,경상북도 울진군 죽변면 죽변북로 180,소기업,,,5070444074,2016-01-08,,2015-11-06,2015-11-06,494,45,0,2,,,,구조용 금속 판제품 및 공작물 제조업,도시지역/녹지지역/자연녹지지역,대,신규등록,2021-09-30,
매화농업협동조합,,남계식,자가,경상북도 울진군 매화면 원남로 625 (총 5 필지) 외 4필지,소기업,054-782-7010,,5078202034,2017-06-05,,2014-02-06,2016-04-18,2853,438.96,129.6,1,5,,,장류 제조업,농림지역/농업진흥지역/농업진흥구역,답,등록변경,2021-09-30,
미래정공,울진농공단지,장광병,자가,경상북도 울진군 울진읍 울진북로 745-74,소기업,054-781-2727,,5070380388,,,2010-03-09,2014-12-02,2207.2,416,60,3,1,0,0,그 외 기타 금속가공업 외 2 종,관리지역/관리지역기타,공장용지,등록변경,2021-09-30,
미래정공(주),울진농공단지,장광병,임대,경상북도 울진군 울진읍 울진북로 745-74,소기업,054-783-6262,054-783-5757,5078111540,2013-07-10,,2012-10-24,2018-06-27,2207.2,266,65,4,0,,,유압기기 제조업 외 9 종,관리지역/관리지역기타,공장용지,완료신고,2021-09-30,
백만정비,,김선희,자가,경상북도 울진군 울진읍 토일1길 138 (1급동해정비),소기업,054-782-6000,,5070375788,2010-03-04,2010-03-04,2008-09-01,2009-04-10,1855,125.28,339.18,6,1,0,0,건설 및 채광용 기계장비 제조업,도시지역/공업지역/준공업지역,공장용지,등록변경,2021-09-30,
비랑영농작목반(합),,박성우,자가,경상북도 울진군 평해읍 오곡2길 41 (비량퇴비제조장) 외 1필지,소기업,054-787-4885,,5078120132,2012-10-15,,1995-12-05,2015-07-24,6978,2405.15,99.6,12,0,0,0,복합비료 및 기타 화학비료 제조업 외 1 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
뽀빠이중기공업사,,조혜정,임대,경상북도 울진군 죽변면 후정리 915 번지 916-6,소기업,054-781-2111,054-781-1557,5070395732,,,2011-04-15,2011-04-15,1138,300,32.5,2,,,,건설 및 채광용 기계장비 제조업,관리지역/계획관리지역,대,신규등록,2021-09-30,
사회복지법인 고우이복지재단,,김순선,자가,경상북도 울진군 죽변면 산내성로 481,소기업,054-782-9210,054-781-9212,5078204110,1995-06-17,,2020-09-23,2020-09-23,374.55,112.05,262.5,3,2,,,곡물 제분업,관리지역/계획관리지역,전,신규등록,2021-09-30,
삼홍실업(주),,정태경,자가,경상북도 울진군 후포면 울진대게로 225 (삼홍실업㈜),중기업,054-787-1101,054-787-1104,5078520348,,,1981-08-12,1994-05-23,2909.14,1876.44,760,40,167,0,0,수산동물 냉동품 제조업,도시지역/공업지역/준공업지역,공장용지,완료신고,2021-09-30,
서울식품,,남성희,자가,경상북도 울진군 후포면 후포삼율로 20-7 외 1필지,소기업,054-788-2314,054-788-2399,5070227289,,,1993-05-13,2010-09-08,677,335.76,254.8,0,5,0,0,수산동물 건조 및 염장품 제조업,도시지역/공업지역/준공업지역,대,등록변경,2021-09-30,
서울종합가구싱크,,박경화,임대,경상북도 울진군 북면 덕구온천로 300 (서울종합씽크),소기업,016-810-0399,,5070367236,1981-08-12,1981-08-12,2008-03-06,2008-03-06,601,104.1,49.99,2,1,0,0,주방용 및 음식점용 목재가구 제조업,관리지역/관리지역기타,잡종지,신규등록,2021-09-30,
