회사명,대표자명,전화번호,공장대표주소,업종명,데이터기준일자,생산품
(주)태원섬유,허진호,054-931-1086,성주군 선남면 선남농공단지길 30,화학섬유직물 직조업,2018-07-31,
대건직물,김태하,054-933-1100,성주군 선남면 선남농공단지길 26,견직물 직조업,2018-07-31,
동신섬유,장성학,,성주군 선남면 선남농공단지길 34,연사 및 가공사 제조업,2018-07-31,
우성직물,이상우,054-932-1494,성주군 선남면 선남농공단지길 13,화학섬유직물 직조업,2018-07-31,
윤진하이텍 주식회사,이대윤,,성주군 선남면 선남농공단지길 13,부직포 및 펠트 제조업,2018-07-31,
한신섬유(주),이상훈,054-933-1157,성주군 선남면 선남농공단지길 35,화학섬유직물 직조업,2018-07-31,
(주)경농산업,우영창,054-933-8020,성주군 성주읍 성주농공단지길 37,"플라스틱 필름, 시트 및 판 제조업",2018-07-31,
(주)대일텍스타일,정병의,054-933-9960,성주군 성주읍 성주농공단지길 14,화학섬유직물 직조업,2018-07-31,
(주)디자인랜드,이윤경,053-744-5393,성주군 성주읍 성주농공단지길 72,표면가공목재 및 특정 목적용 제재목 제조업 외 3 종,2018-07-31,
(주)리버유토피아,안도균,054-934-4387,성주군 성주읍 성주농공단지길 14,건설용 석제품 제조업 외 4 종,2018-07-31,
(주)명언,김종복,054-933-8945,성주군 성주읍 성주농공단지길 36,기타 구조용 금속제품 제조업,2018-07-31,
(주)성광,허덕열,054-933-9987,성주군 성주읍 성주농공단지길 30,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)아이엔텍,방성기,053-591-3720,성주군 성주읍 성주농공단지길 72,액체 여과기 제조업 외 5 종,2018-07-31,
(주)엠제이텍스,김기필,054-933-1234,성주군 성주읍 성주농공단지길 14,연사 및 가공사 제조업,2018-07-31,
(주)와이엔씨,최우영,054-931-6544,성주군 성주읍 성주농공단지길 49,기타 종이 상자 및 용기 제조업,2018-07-31,
(주)욱일기계,방금필,054-931-6162,성주군 성주읍 성주농공단지길 29,펄프 및 종이 가공용 기계 제조업,2018-07-31,
(주)평화발레오 성주공장,"김상태,에릭발리",054-930-5113,성주군 성주읍 성주농공단지길 26,자동차용 동력전달장치 제조업,2018-07-31,
(주)하나텍스,김선임,054-933-3991,성주군 성주읍 성주농공단지길 21,견직물 직조업,2018-07-31,
성주디자인(주),박용진,054-933-1188,성주군 성주읍 성주농공단지길 72,간판 및 광고물 제조업,2018-07-31,
우원금속(주),김화언,054-933-6441,성주군 성주읍 성주농공단지길 42,자동차 엔진용 부품 제조업,2018-07-31,
하나섬유,신현부,054-933-3991,성주군 성주읍 성주농공단지길 21,견직물 직조업,2018-07-31,
협성산업,박학용,054-931-4169,성주군 성주읍 성주농공단지길 60,연사 및 가공사 제조업,2018-07-31,
현대텍스,이승호,054-933-8261,성주군 성주읍 성주농공단지길 64,섬유사 및 직물 호부처리업,2018-07-31,
휴먼텍스,신승혜,054-933-3991,성주군 성주읍 성주농공단지길 21,연사 및 가공사 제조업,2018-07-31,
(주)금성칼라팩,김전홍,053-616-4853,성주군 성주읍 성주산업단지로4길 25,골판지 및 골판지상자 제조업,2018-07-31,
(주)모토닉 성주공장,신현돈,053-589-6207,성주군 성주읍 성주산업단지로3길 67,자동차 엔진용 부품 제조업,2018-07-31,
(주)삼태성,이의환,054-932-6201,성주군 성주읍 학산리 397번지 성주2일반산업단지 A-19,자동차 차체용 부품 제조업 외 2 종,2018-07-31,
금성산업포장,김전홍,053-615-7701,성주군 성주읍 성주산업단지로4길 25,골판지 및 골판지상자 제조업,2018-07-31,
신성에스앤티 주식회사,최광영,053-609-2222,성주군 성주읍 성주산업단지로5길 59,그외 기타 자동차 부품 제조업 외 3 종,2018-07-31,
주식회사 신독,박종안,054-930-0800,성주군 성주읍 성주산업단지로5길 83,자동차 차체용 부품 제조업 외 1 종,2018-07-31,
지에스네오텍(주),남기정,,성주군 성주읍 성주산업단지로5길 59,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",2018-07-31,
(주)거산알루미늄,홍정호,054-933-9651,성주군 성주읍 용대로 75,"알루미늄 압연, 압출 및 연신제품 제조업",2018-07-31,
(주)경민,장영애,054-933-1774,성주군 선남면 문방공단길 159,화학섬유직물 직조업,2018-07-31,
(주)DAESEO,윤정수,053-255-1889,성주군 선남면 관용로 507,기타 신발 제조업,2018-07-31,
(주)경민,장영애,054-933-1771,성주군 선남면 문방리 1382-1번지,화학섬유직물 직조업,2018-07-31,
(주)경동하이테크,"곽충보, 최경희",054-931-8893,성주군 선남면 명관로 337-21,저장용 및 위생용 플라스틱제품 제조업 외 3 종,2018-07-31,
(주)경성목재,안순애,,성주군 성주읍 금산리 515번지,목재문 및 관련제품 제조업,2018-07-31,
(주)광명분체,우정권,054-337-7400,성주군 성주읍 금산리 10-3번지,도장 및 기타 피막처리업,2018-07-31,
(주)그린엔바이론텍,김준영,,성주군 선남면 용신공단길 25,판지 상자 및 용기 제조업,2018-07-31,
(주)금성지앤씨,안호균,,성주군 초전면 주천로 1280,그외 기타 자동차 부품 제조업,2018-07-31,
(주)구일기계공업,"강은구, 이운학",054-931-1491,성주군 용암면 사곡리 1079-9번지,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업",2018-07-31,
(주)광명상사,표완섭,031-374-7704,성주군 용암면 운용로 1478-9,"카펫, 마루덮개 및 유사제품 제조업",2018-07-31,
(주)금창이피시,이철웅,054-932-0431,성주군 선남면 문방공단길 69,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)남신테크,류혜진,054-931-5200,성주군 선남면 선노로 57,금속 조립구조재 제조업 외 1 종,2018-07-31,
(주)다홍식품,권말연,054-932-3699,성주군 선남면 선노로 55-19,과실 및 채소 절임식품 제조업,2018-07-31,
(주)금윤,장정국,054-931-2060,성주군 초전면 주천로 1244,연사 및 가공사 제조업,2018-07-31,
(주)남경티이씨,남  민,054-931-9370,성주군 금수면 대금로 290,그외 기타 자동차 부품 제조업,2018-07-31,
(주)늘품테크,김진한,054-933-7761,성주군 월항면 선월로 248,비금속원료 재생업,2018-07-31,
(주)남경,이장유,054-931-4403,성주군 선남면 오도리 66번지,"플라스틱 필름, 시트 및 판 제조업",2018-07-31,
(주)남일엔피아이,이태호,054-933-1341,성주군 선남면 관용로 190-37,자동차 엔진용 부품 제조업 외 1 종,2018-07-31,
(주)나스코,서영근,054-933-6588,성주군 성주읍 성주로 2806,비금속원료 재생업,2018-07-31,
(주)남일,송인걸,054-933-4423,성주군 선남면 용신공단길 10-28,화학섬유직물 직조업,2018-07-31,
(주)대광단조,유영선,054-931-2260,성주군 선남면 선노로 58-15,자동차 차체용 부품 제조업,2018-07-31,
(주)대덕,조병호,054-931-5387,성주군 수륜면 참별로 452,건설용 석제품 제조업,2018-07-31,
(주)대원,김종철,054-931-9992,성주군 선남면 관용로 479,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)대교종합철강,유형탁,054-932-9734,성주군 선남면 나선로 987-42,금속 조립구조재 제조업,2018-07-31,
(주)대명전통주,박영순,,성주군 선남면 동암리 299번지,탁주 및 약주 제조업,2018-07-31,
(주)대양,김정동,054-933-1771,성주군 선남면 문방공단길 159,견직물 직조업,2018-07-31,
(주)대아,여상찬,054-931-3390,성주군 선남면 나선로 936,기체 여과기 제조업,2018-07-31,
(주)대동밀레니엄,백종학,054-931-9167,성주군 선남면 선노로 58-10,자동차 차체용 부품 제조업,2018-07-31,
(주)대세케미칼,황효구,054-931-2351,성주군 용암면 사곡공단1길 48,계면활성제 제조업,2018-07-31,
(주)대흥,박병옥,,성주군 초전면 문덕로 249-13,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)데스코성주3공장,김은태,054-970-5883,성주군 월항면 보암공단길 26-69,합성수지 및 기타 플라스틱물질 제조업 외 1 종,2018-07-31,
(주)대호콘텍,안선희,,성주군 용암면 성암로 1086-4,절삭가공 및 유사처리업,2018-07-31,
(주)덕원폴리머,장준호,054-933-0245,성주군 선남면 관화1길 21-62,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)대일테크,노의경,053-933-3280,성주군 선남면 명관로 337-3,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업",2018-07-31,
(주)대한테크,변현수,,성주군 선남면 오도리 64번지,금속 조립구조재 제조업,2018-07-31,
(주)덕수테크,이윤규,054-933-2311,성주군 선남면 나선로 932-34,도장 및 기타 피막처리업,2018-07-31,
(주)대한실업성주지점,조성수,054-931-3452,성주군 벽진면 문덕로 112,기계장비 조립용 플라스틱제품 제조업 외 4 종,2018-07-31,
(주)더블유지웍스,맹삼현,054-932-1004,성주군 선남면 도성리 602-3번지,기타 산업용 유리제품 제조업,2018-07-31,
(주)도원환경,윤혜경,,성주군 선남면 도흥5길 65,그외 기타 고무제품 제조업,2018-07-31,
(주)동서남북,최미희,,성주군 성주읍 금산리 19-5번지,어망 및 기타 끈가공품 제조업,2018-07-31,
(주)동양테크,이병열,,성주군 용암면 용정리 80번지,합성수지 및 기타 플라스틱물질 제조업 외 1 종,2018-07-31,
(주)두향원,우영숙,054-933-1085,성주군 선남면 용신6길 43,장류 제조업,2018-07-31,
(주)동국철강,석충원,054-932-7006,성주군 선남면 관용로 357-7,기타 1차 비철금속 제조업,2018-07-31,
(주)두성산업,고두현,054-931-8339,성주군 선남면 선원2길 19,자동차용 동력전달장치 제조업,2018-07-31,
(주)도현,노병욱,,성주군 선남면 선노로 691,선철주물 주조업,2018-07-31,
(주)동호분섬,박재흠,054-931-7500,성주군 선남면 유서리길 128,연사 및 가공사 제조업,2018-07-31,
(주)동성중공업,"신정환, 박종대",054-933-5273,성주군 선남면 나선로 945,금속 조립구조재 제조업 외 1 종,2018-07-31,
(주)동양페시마,성무환,054-932-3456,성주군 용암면 성암로 1241,합금철 제조업,2018-07-31,
(주)디에스,최은준,054-933-8130,성주군 선남면 나선로 863,기타 가공공작기계 제조업 외 2 종,2018-07-31,
(주)디에스티,"박종대, 김대식",054-933-5274,성주군 선남면 나선로 945,내연기관 제조업 외 1 종,2018-07-31,
(주)디지에쓰,권준헌,054-931-9567,성주군 선남면 성주로 3758,그외 기타 자동차 부품 제조업,2018-07-31,
(주)명륜산업,이종선,054-931-3872,성주군 월항면 지산로 179,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
(주)디에스티,"박종대, 김대식",054-933-5274,성주군 선남면 나선로 949,내연기관 제조업 외 1 종,2018-07-31,
(주)디지에쓰,권준헌,054-931-9567,성주군 선남면 관용로 297,그외 기타 자동차 부품 제조업,2018-07-31,
(주)디에스테크,정인호,054-931-1335,성주군 용암면 사곡공단2길 28,그외 기타 플라스틱 제품 제조업,2018-07-31,
(주)디엘컴퍼니,이영순,,성주군 선남면 취곡리 264-2번지,가정용 전기 난방기기 제조업,2018-07-31,
(주)럭키산업,오덕숙,054-933-7288,성주군 월항면 대산2길 22-62,일반용 도료 및 관련제품 제조업,2018-07-31,
(주)명성이앤티,김미애,,성주군 용암면 대송로 92,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
(주)미래환경산업,권순호,054-932-6999,성주군 성주읍 주천로 220-45,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)모아,송재동,054-933-9210,성주군 선남면 문방공단길 8,화학섬유직물 직조업 외 2 종,2018-07-31,
(주)무창,이원석,042-586-0357,성주군 선남면 도성2길 75,일반용 전기 조명장치 제조업 외 5 종,2018-07-31,
(주)무안,윤상원,054-931-4300,성주군 용암면 용정공단길 26,연사 및 가공사 제조업,2018-07-31,
(주)무계상사,유명하,053-943-3119,성주군 용암면 용정리 55-7 번지,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)미강기업,이한수,053-566-6183,성주군 선남면 문방길 25-27,컨베이어장치 제조업 외 1 종,2018-07-31,
(주)미성공업,전태룡,054-931-6030,성주군 초전면 대장2길 16-10,레미콘 제조업,2018-07-31,
(주)미래엔비텍,이범춘,054-933-0800,성주군 선남면 나선로 987-37,중앙난방보일러 및 방열기 제조업 외 10 종,2018-07-31,
(주)백봉환경산업,황현식,054-933-0356,성주군 용암면 사곡공단1길 31,비금속원료 재생업,2018-07-31,
(주)부강산업,서순애,054-932-5721,성주군 용암면 사곡길 16,그외 기타 고무제품 제조업 외 1 종,2018-07-31,
(주)미래산업,손명숙,054-932-4355,성주군 성주읍 주천로 153,그외 기타 플라스틱 제품 제조업 외 2 종,2018-07-31,
