순번,회사명,단지명,전화번호,종업원수,생산품,공장대표주소,업종명
17,(주)케이엠콘트롤,태백철암농공단지,(033)5527011,4,"프로세스제어반,자동제어반,배전반,계장(계측)제어장치,CCTV",강원도 태백시 철암동 464-2번지,방송장비 제조업 외 4 종
18,(주)태서식품 제1공장,태백철암농공단지,(033)5539624,17,김치류,강원도 태백시 철암동 449번지,김치류 제조업 외 1 종
19,(주)태서식품 제2공장,태백철암농공단지,(033)5539622,60,김치,강원도 태백시 철암동 456번지,김치류 제조업 외 1 종
20,(주)한얼싸이언스,태백철암농공단지,(033)9307700,50,작물보호제,강원도 태백시 철암동 447 번지 외 1 필지,화학 살균.살충제 및 농업용 약제 제조업 외 2 종
21,(주)한얼싸이언스,태백철암농공단지,(033)9307700,7,기타 비료 및 질소화합물,강원도 태백시 철암동 459-2번지,복합비료 및 기타 화학비료 제조업 외 3 종
22,주식회사 한얼싸이언스,태백철암농공단지,(033)9307700,4,작물보호제,강원도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종
23,강원복지회(태백장애인근로사업장),태백철암농공단지,(033)5534609,46,"쓰레기봉투, 화장지",강원도 태백시 철암동 445-1번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 3 종"
24,강원복지회(태백장애인근로사업장),태백철암농공단지,(033)5534609,40,"화장지,종이컵,비닐봉투,방향제",강원도 태백시 철암동 445번지,"플라스틱 포대, 봉투 및 유사제품 제조업 외 3 종"
25,도은통신,태백철암농공단지,(033)5536522,4,CCTV,강원도 태백시 철암동 464-9번지,방송장비 제조업 외 5 종
26,썬샤인창호산업(유),태백철암농공단지,(033)5544204,8,"규격창호, 합성수지형창호,금속창호",강원도 태백시 철암동  454번지,플라스틱 창호 제조업 외 1 종
27,주식회사 산화,태백철암농공단지,(033)5529611,10,"맨홀뚜껑, 스틸그레이팅",강원도 태백시 철암동 464-1번지,육상 금속 골조 구조재 제조업 외 8 종
28,주식회사 수목원,태백철암농공단지,(033)5814879,15,청국장,강원도 태백시 철암동  464-8번지,장류 제조업 외 3 종
29,주식회사 정진,태백철암농공단지,(033)5521554,7,배전반,강원도 태백시 철암동 452번지,배전반 및 전기 자동제어반 제조업 외 3 종
30,주식회사 지카스,태백철암농공단지,(031)80049969,5,"배전반, 자동제어반,프로세스제어반",강원도 태백시 철암동 464-5번지,배전반 및 전기 자동제어반 제조업 외 2 종
31,주식회사 하나바이오,태백철암농공단지,(031)6279911,3,작물보호제,강원도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 1 종
32,참밀,태백철암농공단지,(033)5526412,4,"제빵, 제과",강원도 태백시 철암동 449번지,빵류 제조업
33,태백산채냉면영농조합,태백철암농공단지,(033)5526106,9,산채냉면,강원도 태백시 철암동 464-13번지 외 1 필지,"면류, 마카로니 및 유사식품 제조업 외 1 종"
34,초록팜 주식회사,태백철암농공단지,(031)9329555,1,농약,강원도 태백시 철암동 446번지,화학 살균.살충제 및 농업용 약제 제조업 외 1 종
35,태백고랭지김치,태백철암농공단지,(033)5529557,3,김치,강원도 태백시 철암동 464-4번지 464-4,김치류 제조업 외 1 종
36,한국주철,태백철암농공단지,(033)5529611,28,"맨홀뚜껑, 가로등주, 스틸그레이팅 등",강원도 태백시 철암동  464-1번지,선철주물 주조업 외 2 종
37,동서계전,태백철암농공단지,(033)5541150,4,"전기자동배전반, 가로보안등전기시설",강원도 태백시 철암동  452번지,배전반 및 전기 자동제어반 제조업
38,주식회사 정진,태백철암농공단지,(033)5521554,5,CCTV 제조,강원도 태백시 철암동 464-9번지,방송장비 제조업 외 1 종
39,(주)와이이씨,태백철암농공단지,(033)5539416,5,"배전반, 자동제어반",강원도 태백시 철암동 449-1번지,배전반 및 전기 자동제어반 제조업 외 2 종
40,농업법인회사 하이파머스 주식회사,태백철암농공단지,(033)5540212,0,"돼지감자차, 절임류",강원도 태백시 철암동 464-16번지,김치류 제조업 외 1 종
41,주식회사 한얼싸이언스,태백철암농공단지,(033)9307700,4,작물보호제,강원도 태백시 철암동 460번지,화학 살균.살충제 및 농업용 약제 제조업 외 3 종
42,농업회사법인(주)태백산,태백철암농공단지,(033)5539086,1,가시오가피 지역특산주,강원도 태백시 철암동 451번지,기타 증류주 및 합성주 제조업
43,높은산식품,태백철암농공단지,(033)5532003,5,장류,강원도 태백시 철암동 464-3번지,장류 제조업
44,보현석재(주),태백철암농공단지,(031)5365296,5,"욕조,줄눈제,폴리마 콘크리트",강원도 태백시 철암동 455번지,플라스터 혼합제품 제조업
45,승혜전력주식회사,태백철암농공단지,(033)5540822,1,망형접지판,강원도 태백시 철암동 449-1번지,그 외 기타 금속가공업
46,㈜라온,태백철암농공단지,,19,"살충제, 제초제, 살균제",강원도 태백시 철암동 446번지 정수유통(주),화학 살균.살충제 및 농업용 약제 제조업 외 1 종
47,주식회사 영재건설,태백철암농공단지,(033)5522455,2,디자인금속울타리,강원도 태백시 철암동 464-9번지 A동,구조용 금속 판제품 및 공작물 제조업
48,주식회사 태경화학,태백철암농공단지,(033)5540991,3,PE하수관거 및 연결관,강원도 태백시 철암동 450번지,"플라스틱 선, 봉, 관 및 호스 제조업"
49,주식회사대풍식품,태백철암농공단지,(033)5534997,6,사골곰탕,강원도 태백시 철암동 464-7번지 464-7,도시락류 제조업 외 1 종
50,후이즈건축인테리어,태백철암농공단지,(033)5816000,0,임대,강원도 태백시 철암동 451번지,기타 부동산 임대업
