회사명,대표자명,공장대표주소,업종명,전화번호,팩스번호,종업원수,생산품,데이터 기준일자
(주)누원 밀양지점,최승한,경상남도 밀양시 하남읍 하남로 129,건설 및 채광용 기계장비 제조업,,055-391-3237,0,특장차,2022-08-10
(주)눌천,안준석,경상남도 밀양시 상동면 상동로 828-6,육류 기타 가공 및 저장처리업 (가금류 제외),055-353-3712,055-353-3715,13,돈까스,2022-08-10
(주)니나노,오현석,경상남도 밀양시 산외면 산외강변로 347,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",055-352-4741,055-352-4743,9,전자파 차단용품,2022-08-10
(주)대림테크,윤윤심,경상남도 밀양시 부북면 제대리 8번지,선박 구성 부분품 제조업,070-4322-5883,070-7500-5645,6,선박용 의장품,2022-08-10
(주)대성레미콘,김진재,경상남도 밀양시 부북면 사포로 65-1 외 5필지,레미콘 제조업,055-356-7900,055-356-7901,12,레미콘,2022-08-10
(주)대신산업,이용석,경상남도 밀양시 초동면 초동농공단지길 5 (총 2 필지) 외 1필지,폴리스티렌 발포 성형제품 제조업 외 1 종,055-391-6151,055-391-6156,24,스티로폴,2022-08-10
(주)대왕,박명규,경상남도 밀양시 초동면 범평로 132,"수산동물 훈제, 조리 및 유사 조제식품 제조업",055-391-2111,055-391-9977,21,조미식품,2022-08-10
(주)대우선재,김상훈,경상남도 밀양시 부북면 무안로 800 외 4필지,철강선 제조업,055-345-5657,070-7500-2120,5,"환봉, 코일",2022-08-10
(주)대일산업,김봉수,경상남도 밀양시 상남면 이연길 26,그 외 기타 플라스틱 제품 제조업,055-352-8789,055-353-5195,0,플라스틱 화분,2022-08-10
(주)대진,이종민,경상남도 밀양시 부북면 사포산단중앙로 27,차체 및 특장차 제조업,055-351-1800,055-351-1801,16,특장,2022-08-10
(주)대한테크,노문순,경상남도 밀양시 삼랑진읍 미율로 441,산업용 송풍기 및 배기장치 제조업,055-354-8138,055-354-3383,11,배기장치,2022-08-10
(주)더모모스,정세민,경상남도 밀양시 하남읍 양동농공단지길 10,포장용 플라스틱 성형용기 제조업,070-4848-0457,070-8255-5080,4,식품 포장용기,2022-08-10
(주)덕강금속,최은순,경상남도 밀양시 삼랑진읍 미전농공단지길 70,그 외 자동차용 신품 부품 제조업 외 3 종,055-386-0741,055-386-0740,14,자동차부품(자동차배관 등),2022-08-10
(주)도서출판 밀양,신인규,경상남도 밀양시 백민로 94 (내이동),경 인쇄업 외 1 종,055-355-9122,055-353-7122,4,인쇄물,2022-08-10
(주)도시,손영일,산외강변로 347 외 1필지,육상 금속 골조 구조재 제조업 외 6 종,,055-351-2232,7,"도로 및 교량 난간, 맨홀뚜껑 등",2022-08-10
(주)도시알엔비,노연주,"경상남도 밀양시 산외면 산외강변로 347, 나동호",육상 금속 골조 구조재 제조업 외 6 종,055-351-2282,055-351-2283,2,"디자인형울타리, 교량난간, 방음판, 방음벽, 차선분리대",2022-08-10
(주)도현산업,정경란,경상남도 밀양시 추화산성길 34-5 (교동),"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",055-354-4540,055-354-4596,4,"스텐창호, 안전난간, 금속울타리, 옥외용벤치",2022-08-10
(주)도화,박소윤,경상남도 밀양시 상남면 하남로 471,타일 및 유사 비내화 요업제품 제조업,,051-959-0277,3,세라믹 벽화타일,2022-08-10
(주)동서금속,정상은,경상남도 밀양시 부북면 사포산단중앙로 57-8,자동차 엔진용 신품 부품 제조업 외 2 종,055-391-7788,055-391-7790,85,자동차엔진및차체용부품,2022-08-10
(주)동서디앤씨,허진영,경상남도 밀양시 부북면 사포산단중앙로 114,트레일러 및 세미트레일러 제조업,053-593-4406,053-593-4408,25,튜브트레일러 및 수소탱크,2022-08-10
(주)동신지관,이장호,경상남도 밀양시 하남읍 성만남전로 194-7 (총 2 필지) 외 1필지,판지 상자 및 용기 제조업,055-391-4412,055-391-4404,25,지관,2022-08-10
(주)동영이엔지,안익대,경상남도 밀양시 삼랑진읍 미전농공단지길 29,"증류기, 열교환기 및 가스발생기 제조업 외 9 종",055-351-0789,055-351-0784,9,"열교환기,저장탱크,자동차부품",2022-08-10
(주)동진산업,손무웅,경상남도 밀양시 부북면 사포공단2길 26,간판 및 광고물 제조업 외 6 종,055-354-2714,055-354-2715,8,"간판,광고물, 휀스, 알루미늄제 난간, 금속구조물, 교통표시판, 차선분리대 등",2022-08-10
(주)드림피아,최규진,경상남도 밀양시 초동면 성만남전로 155,표면처리 및 적층 직물 제조업,055-391-7770,055-391-7776,9,"T/C원단,열전사",2022-08-10
(주)디에스아이,석상기,경상남도 밀양시 부북면 춘화농공단지길 12-42,그 외 기타 분류 안된 금속 가공 제품 제조업,,055-802-7378,0,PHC 파일 두부보강캡,2022-08-10
(주)디에스에이,김주성,경상남도 밀양시 부북면 춘화리 844번지,그 외 자동차용 신품 부품 제조업 외 3 종,055-336-9905,055-716-2305,18,자동차부품,2022-08-10
(주)디에스원,임춘우,경상남도 밀양시 부북면 춘화농공단지길 12-42,그 외 기타 일반목적용 기계 제조업 외 2 종,055-802-7377,051-832-6632,10,산업용 전기 보일러,2022-08-10
(주)디엔,조숙희,경상남도 밀양시 부북면 춘화리 858번지,그 외 자동차용 신품 부품 제조업,055-352-4460,055-352-4462,24,자동차 내장재,2022-08-10
(주)디와이산업,최정태,경상남도 밀양시 초동면 초동농공단지길 23-26,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,055-391-5750,055-391-5751,6,콘크리트 호안 옹벽블륵,2022-08-10
(주)디자인남영,손승웅,경상남도 밀양시 산외면 죽남길 4,구조용 금속 판제품 및 공작물 제조업 외 4 종,,055-356-2906,6,"금속재울타리, 목재판재, 운동시설물, 벤치",2022-08-10
(주)락희스틸,신선원,경상남도 밀양시 초동면 초동농공단지길 69,육상 금속 골조 구조재 제조업 외 1 종,031-881-2020,031-881-2017,0,철근가공품,2022-08-10
(주)리하온,황재윤,경상남도 밀양시 삼랑진읍 만어로 305 외 4필지,그 외 자동차용 신품 부품 제조업 외 3 종,055-351-3842,055-351-3846,87,"스프링, 클립",2022-08-10
(주)만세특장,임재춘,경상남도 밀양시 부북면 사포공단2길 8,차체 및 특장차 제조업 외 2 종,055-351-2160,055-351-2162,14,차량용 특장차,2022-08-10
(주)명가,최기준,경상남도 밀양시 하남읍 성만남전로 468-11,육류 기타 가공 및 저장처리업 (가금류 제외),055-391-6644,055-391-7793,16,돼지감자탕,2022-08-10
(주)미들찬농업회사법인,김창성,경상남도 밀양시 하남읍 백산로 152 외 1필지,차류 가공업 외 1 종,,055-391-3961,9,가공 농산물,2022-08-10
(주)미래팩,이옥수,"경상남도 밀양시 산외면 남기동길 145, (남기리 686-3)",직물포대 제조업,055-324-8511,055-324-8513,24,포장용 PP-Bag,2022-08-10
(주)미부기술,김광진,경상남도 밀양시 삼랑진읍 미율로 114-11,비내화 모르타르 제조업,055-351-0391,055-351-0392,9,선박구성부분품,2022-08-10
(주)밀양본차이나,김보성,경상남도 밀양시 용두동길 2 (가곡동) (총 4 필지) 외 3필지,가정용 및 장식용 도자기 제조업,055-356-7860,055-356-7861,39,가정용도자기,2022-08-10
(주)밀양커피윌,김미향,경상남도 밀양시 산외면 산외로 672-19,커피 가공업,,055-355-9947,2,"원두커피, 드립백커피",2022-08-10
(주)밀양한천,오정훈,경상남도 밀양시 산내면 봉의로 58-31 외 1필지,수산식물 가공 및 저장 처리업,055-352-0544,055-352-0548,79,"분말.실 한천, 양갱 등",2022-08-10
(주)바이오콤,임수복,경상남도 밀양시 초동면 검암리 101번지,기타 기초 무기 화학물질 제조업,055-391-5820,055-391-5823,4,부산물 비료,2022-08-10
(주)보림콘텍,전영선,경상남도 밀양시 초동면 초동농공단지길 12,레미콘 제조업 외 1 종,055-391-7101,055-391-1158,6,레미콘,2022-08-10
(주)보연엔지니어링,정용식,경상남도 밀양시 삼랑진읍 용전1길 8 외 1필지,선박 구성 부분품 제조업 외 2 종,055-355-6890,055-355-6892,14,"선박내장제구성부품, 성형기",2022-08-10
(주)부경레미콘,이중환,경상남도 밀양시 하남읍 양명길 108,레미콘 제조업,055-391-0822,055-391-0826,22,레디믹스터콘크리트,2022-08-10
(주)부양소재,"정상수,기근숙",경상남도 밀양시 초동면 검암1길 3,그 외 기타 플라스틱 제품 제조업 외 2 종,055-342-5251,,14,차량천정재용 복합 sheet,2022-08-10
(주)부일,백종화,"경상남도 밀양시 삼랑진읍 미전농공단지길 33, (주)부일",그 외 자동차용 신품 부품 제조업 외 3 종,055-343-0683,055-343-0685,0,기타 자동차 부품,2022-08-10
(주)비앤비컴퍼지트,임경연,,주형 및 금형 제조업 외 2 종,055-338-8903,055-339-8902,9,"FRP 목형, 버스 부분품,  철도차량 부분품",2022-08-10
(주)비에스태평,박대웅,경상남도 밀양시 부북면 춘화로 346,일반 제재업 외 1 종,055-351-1198,055-354-9661,3,"각재, 표면가공목재",2022-08-10
(주)비에스피티아이,김현선,경상남도 밀양시 삼랑진읍 미전농공단지길 18,자동차 차체용 신품 부품 제조업 외 7 종,055-338-8557,055-338-8558,25,자동차 및 가전 플라스틱 부품,2022-08-10
(주)비엑스밸브,김중연,경상남도 밀양시 상남면 이연길 32,유압기기 제조업,,,18,밸브류,2022-08-10
(주)삼부금속,최정문,경상남도 밀양시 삼랑진읍 용전산업단지길 278-11,그 외 기타 분류 안된 금속 가공 제품 제조업 외 2 종,055-802-7700,055-802-7772,30,"단조, 금속 및 비철 선박구성부분품",2022-08-10
(주)삼성산업 밀양공장,허규판,경상남도 밀양시 초동면 초동농공단지길 12 외 2필지,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 2 종,055-391-7101,055-391-1158,4,"콘크리트 침목, 레미콘",2022-08-10
(주)삼성팩,장정환,경상남도 밀양시 산내면 산내로 794 외 4필지,골판지 제조업 외 1 종,,,0,골판지박스,2022-08-10
(주)삼양내화,엄임현,경상남도 밀양시 상동면 상동로 1148,정형 내화 요업제품 제조업 외 1 종,055-391-7876,055-351-3933,5,내화캐스타블몰탈,2022-08-10
(주)삼양스틸(지점),정성학,경상남도 밀양시 하남읍 양동농공단지길 51,그 외 기타 금속가공업,055-391-6633,055-391-6312,63,메탈라미네이션강판,2022-08-10
(주)삼지프린테크,김남훈,경상남도 밀양시 산외면 남기동길 159,그 외 기타 종이 및 판지 제품 제조업,055-354-2135,055-354-2131,16,"종이컵,아이스크림 용기 등",2022-08-10
(주)상보전력,박경원,경상남도 밀양시 상남면 상남로 1088-13,배전반 및 전기 자동제어반 제조업,055-391-0862,055-391-0864,5,PLC(프로그램 내장 컨트롤러)제조,2022-08-10
(주)상익기공,선홍균,경상남도 밀양시 하남읍 양동농공단지길 22,주형 및 금형 제조업 외 1 종,055-391-7361,055-391-7365,28,자동차 금형제품(코아빈),2022-08-10
(주)새한그라스테크,김혁환,경상남도 밀양시 산외면 산외강변로 263 외 3필지,안전유리 제조업 외 1 종,055-353-0901,055-352-6552,26,접합.강화유리,2022-08-10
(주)서울세라텍,전성수,경상남도 밀양시 하남읍 대사길 48-22 외 2필지,타일 및 유사 비내화 요업제품 제조업,055-343-5111,055-391-1703,18,타일,2022-08-10
(주)서일특수목재,강종섭,경상남도 밀양시 삼랑진읍 사기점길 33 외 6필지,일반 제재업 외 3 종,055-716-0388,055-716-0389,13,"특수목재, 각재, 방부처리목재, 조경재",2022-08-10
(주)선인,이효구,경상남도 밀양시 초동면 초동농공단지길 23-22 외 1필지,그 외 기타 식료품 제조업 외 3 종,055-391-7570,055-391-7573,74,식물성크림,2022-08-10
(주)성경티에스,윤보현,경상남도 밀양시 산외면 다죽리 1199-11번지 외 1필지,안전유리 제조업 외 1 종,055-353-6667,055-353-6657,28,복층유리,2022-08-10
(주)성미,"손완희, 윤태규",경상남도 밀양시 삼랑진읍 용전산업단지길 311,선박 구성 부분품 제조업,055-329-1117,055-901-0397,183,조선기자재,2022-08-10
(주)성진기계,최재규,경상남도 밀양시 초동면 초동농공단지길 39-56 외 2필지,기어 및 동력전달장치 제조업 외 5 종,055-391-7927,055-391-7929,48,"베어링,동력전달장치",2022-08-10
(주)성진기계 4공장,최재규,경상남도 밀양시 초동면 초동농공단지길 64,자동차용 신품 동력전달장치 제조업,055-391-7927,055-391-7929,15,허브베어링,2022-08-10
(주)성진엘비,조성규,경상남도 밀양시 삼랑진읍 검세길 68-3,일반 제재업,055-353-8002,,1,목재,2022-08-10
(주)성진화학,최숙이,경상남도 밀양시 부북면 사포산단중앙로 88-16,그 외 자동차용 신품 부품 제조업 외 3 종,055-322-6821,050-5300-6821,71,자동차 프라스틱부품,2022-08-10
(주)성진화학2공장,최숙이,경상남도 밀양시 부북면 사포산단중앙로 88-21,그 외 자동차용 신품 부품 제조업 외 3 종,055-322-6821,0505-300-6821,16,전기차배터리케이스,2022-08-10
(주)세림,양화용,경상남도 밀양시 하남읍 양명길 118-18 외 1필지,육상 금속 골조 구조재 제조업 외 2 종,055-391-0900,055-391-0910,11,"철구조물,도장품",2022-08-10
(주)세림인더스트리,최의택,경상남도 밀양시 산내면 산내로 656 외 4필지,자동차 차체용 신품 부품 제조업 외 1 종,,,75,자동차차체용 부품,2022-08-10
(주)세림인더스트리,황광원,경상남도 밀양시 부북면 사포산단중앙로 43,자동차 차체용 신품 부품 제조업 외 1 종,055-352-6831,050-5300-6831,139,자동차프레스부품(플라스틱),2022-08-10
(주)세은,하정태,경상남도 밀양시 하남읍 양동농공단지길 65-4,특수 직물 및 기타 직물 직조업,055-391-0379,055-391-1262,0,특수직물및기타직물직조업,2022-08-10
(주)센트랄모텍,"이종철,강태룡",경상남도 밀양시 초동면 초동농공단지길 24-16 외 1필지,금속 단조제품 제조업,052-290-1300,070-4275-1562,22,자동차부품(암류),2022-08-10
(주)수도중공업,안은삼,경상남도 밀양시 부북면 사포산단중앙로 21,건설 및 채광용 기계장비 제조업 외 4 종,055-356-0004,055-356-8151,11,"굴산기, 쇄석기, 전기식 건설기계 등 ",2022-08-10
(주)스마일테크,지정옥,경상남도 밀양시 초동면 초동로 88,기타 구조용 금속제품 제조업,055-391-2244,055-391-3353,0,조립식 컨테이너,2022-08-10
(주)스핀들코리아,김호경,경상남도 밀양시 삼랑진읍 용전산업단지길 196,그 외 기타 일반목적용 기계 제조업 외 1 종,055-329-4802,055-329-4810,9,용접공구,2022-08-10
(주)승진그린텍,양성완,경상남도 밀양시 초동면 금포안길 100 외 3필지,복합비료 및 기타 화학비료 제조업 외 1 종,055-391-2687,055-391-7001,24,"부산물 퇴비,부숙톱밥",2022-08-10
(주)신세계건설,허영호,경상남도 밀양시 상남면 조음로 34-6 (총 5 필지) 외 4필지,일반철물 제조업,055-351-1422,,2,파이프 비닐온실 부품,2022-08-10
(주)신창지앤윈,성창일,경상남도 밀양시 산외면 남기동길 175 외 2필지,안전유리 제조업 외 1 종,055-355-6713,055-355-6717,21,복층유리,2022-08-10
(주)신풍에스엔피,유용현,경상남도 밀양시 부북면 사포산단중앙로 88-15,도장 및 기타 피막처리업,055-355-5590,055-356-0554,0,금속가공제품,2022-08-10
(주)신행리버텍,정영화,경상남도 밀양시 무안면 사명대사생가로 114 외 2필지,기타 건축용 나무제품 제조업 외 3 종,055-355-8555,055-352-8587,5,방음판넬,2022-08-10
(주)쓰리에스엠케이,감병서,경상남도 밀양시 부북면 춘화농공단지길 60,그 외 기타 전자부품 제조업 외 1 종,055-356-8306,,18,몰드필름,2022-08-10
(주)씨에이메탈,전진우,경상남도 밀양시 하남읍 양동농공단지길 57-20,"알루미늄 제련, 정련 및 합금 제조업",055-391-3710,055-391-6262,12, 알루미늄탈산제,2022-08-10
(주)아사히시스템,정광호,경상남도 밀양시 부북면 사포산단중앙로 131,자동차 차체용 신품 부품 제조업,043-731-7320,043-733-7323,8,특장차용 AL게이트,2022-08-10
(주)아산-밀양지점,"김예경, 조순제",경상남도 밀양시 부북면 사포로 565 외 1필지,자동차 차체용 신품 부품 제조업 외 1 종,031-999-5100,031-989-2200,50,자동차 부품,2022-08-10
(주)안산산업,김병곤,경상남도 밀양시 삼랑진읍 용전산업단지길 67,"알루미늄 제련, 정련 및 합금 제조업",055-547-6213,055-547-6211,19,알루미늄 괴,2022-08-10
(주)알멕코리아,백종명,경상남도 밀양시 부북면 사포산단중앙로 130 외 2필지,자동차 차체용 신품 부품 제조업 외 1 종,055-802-7030,055-733-3329,13,"전기차 배터리 케이스, 알루미늄 압출형재",2022-08-10
(주)알엠시스,김도영,경상남도 밀양시 부북면 사포산단중앙로 37,기타 구조용 금속제품 제조업 외 1 종,055-352-8110,055-352-8123,6,"자동차용카페트, 자동차용머플러부품",2022-08-10
(주)알엠케이,나한성,경상남도 밀양시 부북면 춘화농공단지길 25,"탭, 밸브 및 유사장치 제조업",055-353-5827,055-354-5829,0,"동파이프,밸브류",2022-08-10
(주)앞선,김진경,경상남도 밀양시 부북면 춘화농공단지길 44,기체 여과기 제조업 외 1 종,055-353-2101,055-353-2102,11,대기및수질오염방지기기,2022-08-10
(주)억새누리,신금수,경상남도 밀양시 무안면 신연로 642-7,침구 및 관련제품 제조업 외 1 종,055-353-7343,055-353-1701,3,"억새베개, 억새제품",2022-08-10
(주)에스에스아이씨,손현직,"경상남도 밀양시 하남읍 양동농공단지길 57-12, (양동리 174-4)",기타 가공 공작기계 제조업,055-802-7889,055-391-6980,2,"방산부품, 공자기계부품",2022-08-10
(주)에스엠디 사포지점,정주희,경상남도 밀양시 부북면 사포공단2길 26,구조용 금속 판제품 및 공작물 제조업 외 1 종,055-354-2714,055-354-2715,1,"스텐리스 휀스 외, 차선분리대",2022-08-10
(주)에스엠시스텍,이영수,"경상남도 밀양시 산내면 임고정2길 24, 나동",주방용 및 음식점용 목재가구 제조업,032-588-1611,070-8659-1328,11,"주방가구, 일반가구",2022-08-10
(주)에스엠티,이정원,경상남도 밀양시 초동면 초동농공단지길 39-32 외 1필지,분사기 및 소화기 제조업 외 1 종,055-391-0945,070-8668-1009,12,"투척식 소화기, 자동차부품",2022-08-10
(주)에스제이,신선해,경상남도 밀양시 하남읍 양동농공단지길 64 (총 2 필지) 외 1필지,그 외 기타 금속가공업,055-391-4694,055-391-4279,25,철구조물,2022-08-10
(주)에스제이기업,임문성,경상남도 밀양시 삼랑진읍 미율로 47 외 3필지,육상 금속 골조 구조재 제조업 외 1 종,055-353-3813,055-353-3819,25,케이블 트레이,2022-08-10
(주)에스피,반수하,경상남도 밀양시 부북면 송포로 32-7,"1차 유리제품, 유리섬유 및 광학용 유리 제조업 외 4 종",055-353-7467,055-352-7656,10,화이바 그라스 디스크,2022-08-10
(주)에이디에스레일,윤예선,경상남도 밀양시 상남면 상남로 693 (라동) 외 1필지,철도차량 부품 및 관련 장치물 제조업,055-802-1000,055-802-1017,50,철도차량부품,2022-08-10
(주)에이비엠 밀양지점,한기영,경상남도 밀양시 부북면 춘화로 378,그 외 기타 금속가공업 외 8 종,051-759-8632,051-746-4027,14,"지붕자재, 조명장치",2022-08-10
(주)에이치에스아쿠아피드,"홍병호,홍기호",경상남도 밀양시 초동면 초동농공단지길 55-38,배합 사료 제조업 외 3 종,055-391-7270,055-391-6171,14,유기성 폐기물 사료화기계 유기성 배합사료,2022-08-10
(주)에코일일구,이승일,경상남도 밀양시 청도면 청도로 156-45,공기 조화장치 제조업,,051-805-7119,1,공기조화장치,2022-08-10
(주)엔바이오컨스,이동완,경상남도 밀양시 부북면 사포산단1길 115-26,그 외 기타 특수목적용 기계 제조업 외 1 종,02-3151-9811,02-3151-9838,0,건조기 및 기타 부대시설,2022-08-10
(주)엔비지,문두성,경상남도 밀양시 부북면 사포산단1길 35,그 외 기타 금속가공업 외 1 종,055-353-3380,055-353-3277,95,강구 및 테이퍼롤러,2022-08-10
(주)엘케이,강홍수,경상남도 밀양시 삼랑진읍 검세리 538-18번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",,055-353-1372,7,"GRP맨홀, 교량용 집수구, FRP 사다리",2022-08-10
(주)영남프린테크,조덕선,경상남도 밀양시 삼랑진읍 미율로 408,경 인쇄업 외 2 종,055-351-0090,055-351-0086,30,"신문, 잡지, 홍보물",2022-08-10
(주)영남플륨,정재홍,경상남도 밀양시 초동면 초동농공단지길 23-17 (총 2 필지),콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,055-391-5750,055-391-5751,9,수로관,2022-08-10
(주)영원어망,노동한,경상남도 밀양시 상남면 상남로 1118-9,합성섬유 제조업,055-355-7755,055-354-8728,11,어망사제조업,2022-08-10
(주)영해에프디,김태수,경상남도 밀양시 삼랑진읍 청룡1길 66,천연 및 혼합조제 조미료 제조업,,055-362-1932,1,매운탕 양념,2022-08-10
(주)예솔,한인열,경상남도 밀양시 무안면 무안로 367 외 5필지,동물성 유지 제조업,055-346-4020,055-346-3455,5,동물성 유지,2022-08-10
(주)오륙,권태형,경상남도 밀양시 삼랑진읍 미율로 144-5 외 1필지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",055-352-5604,055-352-5605,37,"플라스틱압출품, DR SIDE류",2022-08-10
(주)옵스,황철군,경상남도 밀양시 상남면 대성2길 13 외 1필지,기타 식품 첨가물 제조업,,055-355-1786,4,믹스 커피 등,2022-08-10
(주)와이엠,김용문,경상남도 밀양시 부북면 사포산단1길 90-10,자동차용 신품 동력전달장치 제조업 외 1 종,055-391-6840,,0,자동차 동력전달장치,2022-08-10
(주)우주,배종수,경상남도 밀양시 산외면 산외강변로 281 외 2필지,안전유리 제조업 외 1 종,055-343-6204,055-343-6206,18,복층유리,2022-08-10
(주)우주산업,이인태,경상남도 밀양시 부북면 사포로 123 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,055-354-2300,055-353-5770,16,자동차부품,2022-08-10
(주)우주스틸,윤정갑,경상남도 밀양시 삼랑진읍 미전농공단지길 82,그 외 자동차용 신품 부품 제조업 외 7 종,055-716-0177,055-716-0188,26,"자동차부품,기타금속가공품",2022-08-10
(주)우진,전광명,경상남도 밀양시 하남읍 양동농공단지길 21,금속탱크 및 저장용기 제조업 외 1 종,055-714-1999,055-391-3177,18,"탱크내부 보온,보온링",2022-08-10
(주)울산콘크리트,박용숙,경상남도 밀양시 초동면 초동농공단지길 23-26,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,052-254-7204,055-354-2715,7,콘크리트 블럭,2022-08-10
(주)원일특강,신용문,경상남도 밀양시 하남읍 파서중앙길 34 외 28필지,주형 및 금형 제조업,055-391-5500,031-434-8500,50,주형 및 금형,2022-08-10
(주)유아,최원복,경상남도 밀양시 삼랑진읍 용전산업단지길 245,육상 금속 골조 구조재 제조업 외 1 종,055-353-5900,055-353-5903,40,H빔,2022-08-10
(주)유진,임경남,경상남도 밀양시 상남면 상남로 826 외 1필지,모 방적업,055-355-4555,055-355-5313,3,방모사 제조,2022-08-10
